Search Term,Matched Food Name,Serving Qty,Serving Size,Calories,Total Fat,Saturated,Polyunsaturated,Monounsaturated,Trans,Cholesterol,Sodium,Potassium,Total Carbs,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Butter Naan,Flik Butter Naan (66916.8),1,1 each,333,17.61 g,4.61 g,--,8.8 g,0.04 g,16.17 mg,118.19 mg,75.29 mg,37.87 g,1.3 g,1.21 g,5.56 g,3.91 %,0 %,3.67 %,12.56 %
Garlic Naan,Kawan Garlic Naan,1,1 piece,250,4 g,3 g,--,--,0 g,0 mg,130 mg,45 mg,47 g,1 g,6 g,7 g,--,--,1.1 %,2.78 %
Kulcha,Britania Atta Kulcha Kulcha,1,100 gram,341,4 g,2 g,1 g,1 g,0 g,0 mg,0 mg,0 mg,56 g,8 g,3.5 g,9 g,0 %,0 %,0 %,0 %
Amritsari Kulcha,Delight Amritsari Kulcha,1,100 gram,270,9 g,5 g,--,--,0 g,10 mg,--,--,39 g,--,--,8 g,--,--,--,--
Stuffed Kulcha,Paneer Kulcha (Haldiram) paneer kulcha,1,80 gram,220,9 g,5 g,0 g,0 g,0 g,20 mg,0 mg,0 mg,28 g,0 g,0 g,7 g,0 %,0 %,0 %,0 %
Rumali Roti,Sher-E-Punjab Rumali Roti,1,1 roti,160,4.5 g,1.5 g,--,--,0 g,0 mg,330 mg,--,24 g,2 g,1 g,5 g,--,--,5.2 %,10 %
Malabar Parotta,Anand malabar Parotta,1,2 Parottas,360,10 g,0 g,0 g,0 g,0 g,0 mg,220 mg,0 mg,58 g,0 g,5 g,9 g,0 %,0 %,4 %,0 %
Appam,Homemade Pal Appam,1,1 piece,85,2.6 g,0.4 g,0.7 g,1.3 g,--,0 mg,4.7 mg,77.1 mg,15.1 g,0.9 g,0 g,1 g,0.2 %,1.8 %,0.7 %,2 %
Neer Dosa,Dosa 1 Dosa 60g,1,100 grams,183,7.7 g,--,--,--,--,--,--,--,23.5 g,1.9 g,--,4.9 g,--,--,--,--
Dal Tadka,Suhana Dal Tadka,1,1 Cup,220,7.9 g,2.5 g,--,--,--,--,--,--,28 g,3.4 g,--,9.2 g,--,--,--,--
Dal Fry,Uttam Moong Dal Fry,1,100 g,468,20 g,7 g,0 g,0 g,0 g,0 mg,500 mg,0 mg,49 g,0 g,2 g,23 g,0 %,0 %,0 %,0 %
Gujarati Dal,Sukharam Instant Gujarati Dal Masala,1,28.35 gram,111,2.37 g,0.49 g,0.5 g,1.38 g,0 g,0 mg,430.22 mg,--,19.85 g,0.5 g,0.63 g,2.49 g,0 %,6 %,13 %,4 %
Sambar,Madram Sambar Sambar dal,1,100 gms,184,18 g,--,--,--,--,--,--,--,0.4 g,--,--,5.3 g,--,--,--,--
Rasam,Rass Rasam,1,100 grams,12,0.4 g,0.2 g,--,--,--,1 mg,258 mg,71 mg,2.2 g,0.4 g,1.5 g,0.3 g,4 %,6 %,1 %,1 %
Kadhi (Gujarati),Ganesh Chutney Kadhi Mix Gujarati Curry,1,1 cup,130,5 g,2 g,--,--,--,0 mg,600 mg,--,16 g,5 g,8 g,5 g,--,--,4 %,4 %
Kadhi Pakora,Kohmoor Punjabi Kadhi Pakora,1,0.333 Pkg,162,6 g,2 g,0 g,0 g,0 g,4 mg,480 mg,0 mg,23 g,4 g,0 g,4 g,1 %,6 %,45 %,10 %
Rajma Masala,Homemade Rajma Masala,1,0.5 cup cooked,120,3.5 g,--,--,--,--,--,610 mg,--,17 g,--,--,5 g,--,--,--,--
Chole Masala,tata sampann punjabi chole masala,1,100 gram,395,13.6 g,--,--,--,--,--,--,--,55.9 g,--,--,12.2 g,--,--,--,--
Kala Chana Curry,Piping Pot Curry Punjabi Kala Chana,1,1 meal,250,6 g,--,--,--,--,--,658 mg,661 mg,38 g,10 g,8 g,11 g,--,--,--,--
Lobia Curry,Cowpeas / Lobia Meetu Cowpeas / Lobia Meetu,1,100 gm,90,0.4 g,0.1 g,0.2 g,0 g,0 g,0 mg,4 mg,431 mg,19 g,5 g,3 g,3 g,16 %,4 %,12 %,6 %
Mixed Dal,Selco Mixed Dal,1,50 G,178,5.35 g,--,--,--,--,--,--,152 mg,23.2 g,5.3 g,1.8 g,8.95 g,--,--,--,2.5 %
Shahi Paneer,Haldiram's Shahi Paneer,1,0.5 pack (142g),370,31 g,11 g,0 g,0 g,0 g,50 mg,570 mg,0 mg,14 g,1 g,1 g,9 g,0 %,0 %,0 %,0 %
Kadai Paneer,Flik Kadai Paneer (64872.5),1,1.5 cup,572,46.92 g,19.04 g,--,15.33 g,0.56 g,86.49 mg,396.49 mg,684.43 mg,29.09 g,7.75 g,14.77 g,15.99 g,45.51 %,119.8 %,47.1 %,19.8 %
Palak Paneer,palak paneer palak paneer,1,100 Gramm,115,6.7 g,1.8 g,--,--,--,--,--,--,9.8 g,--,--,4.1 g,--,--,--,--
Matar Paneer,Gits Matar Paneer,1,142.5 g(5oz),223,16.3 g,1.4 g,--,--,--,--,755 mg,--,12 g,3.6 g,0 g,7 g,--,--,--,--
Paneer Bhurji,Homemade Paneer Bhurji,1,1 cup,181,9.1 g,2.1 g,3.1 g,3.4 g,--,6.7 mg,475.5 mg,327.3 mg,12.8 g,1.5 g,1 g,13.2 g,14.6 %,20.7 %,9.2 %,10.6 %
Malai Kofta,Vepura Malai Kofta,1,1 Packung,699,35 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,5.2 g,0 g,0 g,10 g,0 %,0 %,0 %,0 %
Veg Kofta Curry,FITT Meals Veg Kofta Curry -MUSCLE GAIN,1,1 Muscle Gain,756,16 g,--,--,--,--,--,--,--,130 g,--,--,23 g,--,--,--,--
Dum Aloo,Sodexo Dum Aloo,1,1 cup,192,13.8 g,--,--,--,--,--,--,--,15.18 g,--,--,1.39 g,--,--,--,--
Aloo Matar,Flik Aloo Matar (65181.0),1,0.5 cup,92,2.22 g,0.19 g,--,1.3 g,0.01 g,0 mg,45.62 mg,261.81 mg,16.49 g,2.16 g,1.43 g,2.22 g,9.71 %,13.57 %,1.51 %,4.34 %
Baingan Bharta,Trader Joe's Baingan Bharta,1,0.5 cup (95 g),100,4.5 g,0.5 g,--,--,0 g,0 mg,210 mg,--,13 g,1 g,0 g,2 g,0 %,6 %,4 %,4 %
Aloo Baingan,Homemade Ando 2021 - Aloo Baingan,1,1 Cup,0,9.9 g,1.4 g,0 g,0 g,0 g,0 mg,26 mg,--,25 g,6.1 g,7.4 g,3.8 g,0 %,--,--,0 %
Bhindi Masala,Masala Craft Bhindi Masala,1,95 g (1/3 package),120,5 g,0.5 g,2 g,2.5 g,0 g,0 mg,210 mg,--,16 g,2 g,1 g,3 g,0 %,2 %,4 %,6 %
Lauki Kofta,Mj Kitchen Lauki,1,1 Large Bowl,189,2.7 g,0.3 g,0.4 g,1.7 g,0 g,0 mg,17.2 mg,"1,059.7 mg",42.6 g,11.1 g,0 g,4.1 g,430.5 %,90.2 %,15.1 %,11.8 %
Aloo Gobi,Malhar Gobi Aloo,1,1 katori,146,7 g,--,--,--,--,--,--,--,19.25 g,--,--,2.75 g,--,--,--,--
Aloo Jeera,"Eat.fit Bengali Chicken Curry, Jeera Aloo & Rotis",1,1 container,591,19 g,--,--,--,--,--,--,--,67 g,14 g,--,39 g,--,--,--,--
Aloo Methi,Mtr Aloo Methi,1,150 g,160,7 g,0.7 g,--,--,--,--,590 mg,--,22 g,--,0 g,3 g,--,--,--,--
Bhindi Fry,Homemade Bhindi(okra) Fry With Coconut,1,1 (50g),261,20.5 g,13.9 g,--,--,--,32.7 mg,747.4 mg,--,19.4 g,8.2 g,5.2 g,4.9 g,--,--,--,--
Cabbage Sabzi,Papad Ki Sabzi Sabzi,1,3 person,388,7.5 g,0.4 g,1.4 g,2.8 g,0 g,0 mg,"2,503.7 mg",153.4 mg,58.5 g,1.6 g,2.1 g,22.3 g,5.8 %,77.1 %,3.4 %,3.5 %
Beans Poriyal,Sodexo Workplace Green Beans Poriyal,1,0.5 cup,130,10 g,7 g,0.5 g,0 g,0 g,5 mg,240 mg,200 mg,10 g,4 g,3 g,3 g,11.12 %,14.83 %,4.3 %,5.89 %
Carrot Beans Sabzi,Homemade Beans Aloo Sabzi,1,1 cup cooked,200,0 g,0 g,0 g,0 g,0 g,0 mg,100 mg,--,25 g,3 g,--,--,0 %,8 %,3 %,0 %
Gajar Matar,Crax matar Matar,1,100 gm,456,17.3 g,--,--,--,--,--,--,--,56.6 g,--,--,18.4 g,--,--,--,--
Tinda Masala,Tinda inglesa panzotti,1,5 unidades,216,8 g,3.2 g,0 g,0 g,0 g,0 mg,210 mg,0 mg,22 g,1 g,0 g,14 g,0 %,0 %,0 %,0 %
Turai Sabzi,Lauki Sabzi,1,1 cup,69,2.67 g,0.23 g,0.49 g,1.78 g,0.02 g,0 mg,166.13 mg,459.03 mg,11.16 g,3.3 g,2.53 g,1.89 g,10.98 %,37.81 %,5.54 %,7.01 %
Karela Fry,laxmi karela,1,0.75 cup,30,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,4 mg,6 g,2 g,0 g,2 g,0 %,0 %,2 %,4 %
Pumpkin Sabzi,sabzi pakora sabzi pakora,1,50 gram,285,17.5 g,--,--,--,--,--,--,--,18.4 g,--,--,6.4 g,--,--,--,--
Capsicum Potato,BTS Stuffed Capsicum with Mince and Potatoes,1,1 serving size,391,13.1 g,10 g,0.1 g,0 g,0 g,0 mg,358 mg,710 mg,25.9 g,2.9 g,1.1 g,41.1 g,23 %,41.4 %,1 %,6 %
Corn Capsicum,Capsicum Rice,1,1 servings,342,11.16 g,0.87 g,1.93 g,7.68 g,0.08 g,0 mg,786.63 mg,300.62 mg,56.6 g,5.56 g,3.12 g,6.17 g,6.45 %,106.19 %,10.65 %,22.26 %
Mushroom Masala (dry),Maharashtrian Dry Garam Masala,1,10 g,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Paneer Tikka (dry),Indali Paneer Tikka Masala,1,0.5 package,172,11 g,7 g,--,--,0 g,21 mg,504 mg,242 mg,13 g,3 g,6.6 g,6 g,--,--,18 %,4.5 %
Soy Chunk Sabzi,ChopChop Sabzi for ghormeh sabzi,1,85 gram,60,1 g,0 g,--,--,0 g,0 mg,40 mg,--,10 g,4 g,2 g,3 g,90 %,100 %,10 %,30 %
Beetroot Sabzi,Papad Ki Sabzi Sabzi,1,3 person,388,7.5 g,0.4 g,1.4 g,2.8 g,0 g,0 mg,"2,503.7 mg",153.4 mg,58.5 g,1.6 g,2.1 g,22.3 g,5.8 %,77.1 %,3.4 %,3.5 %
Raw Banana Fry,"Raw Banana, Raw",1,100 gram,98,0.3 g,0.1 g,0.1 g,0 g,0 g,0 mg,1 mg,358 mg,22.8 g,2.6 g,12.2 g,1.1 g,1.3 %,14.5 %,0.5 %,1.4 %
Jackfruit Sabzi,The Jackfruit Company BBQ Jackfruit,1,0.5 cup,110,3.5 g,0 g,--,--,0 g,0 mg,370 mg,--,18 g,6 g,7 g,2 g,--,--,7.8 %,4 %
Kachori,H.j.vyas Kachori,1,100 gram,460,23 g,12 g,0 g,0 g,0 g,0 mg,381 mg,0 mg,52 g,5 g,14 g,11 g,1 %,3 %,6 %,16 %
Pani Puri,Surati Pani Puri,1,5 piece,70,3 g,0.5 g,--,--,0 g,0 mg,25 mg,--,8 g,1 g,0 g,1 g,--,--,0 %,0 %
Sev Puri,sev puri sev puri,1,100 gram,224,0 g,--,--,--,--,--,--,--,56 g,--,--,0 g,--,--,--,--
Dahi Puri,Dahi,1,1 cup,100,4.2 g,2.66 g,0.13 g,1.2 g,0 g,14 mg,371 mg,99 mg,3.45 g,0 g,1.3 g,11.75 g,2.8 %,--,7.2 %,0.72 %
Ragda Pattice,Ashoka Vegetable burger pattice,1,1 burger,150,8 g,1 g,--,--,--,--,--,--,15 g,--,--,2 g,--,--,--,--
Misal Pav,Pav-Wala's Mumbai Pav Roll,1,1 roll,120,1 g,0 g,--,--,0 g,0 mg,83 mg,--,23 g,2 g,2 g,4 g,--,--,7 %,4 %
Dabeli,Natural Dabeli Peanuts,1,1 gm,200,30 g,25 g,--,--,--,--,80 mg,--,2.5 g,--,10 g,25 g,--,--,2.5 %,2.5 %
Khaman Dhokla,Papaji’s Khaman dhokla,1,145 gram,228,12 g,4 g,--,--,0 g,--,407 mg,--,27 g,--,--,7 g,--,--,--,--
Nylon Khaman,Camaron nylon Camaron nylon,1,100 gr,117,1.7 g,--,--,--,--,0 mg,240 mg,--,0 g,--,--,23.7 g,--,--,--,--
Handvo,Uttam Handvo,1,100 gm,170,0.75 g,0.6 g,--,--,0 g,0 mg,900 mg,--,35 g,3.5 g,9 g,6 g,2 %,--,2 %,2 %
Fafda,Garvi Gujarat Fafda,1,1.5 oz,254,18.81 g,10.75 g,--,--,0 g,--,240 mg,--,14.68 g,3.4 g,0.58 g,6.36 g,0 %,0 %,3 %,0 %
Jalebi,Generic- Jalebi,1,100 gm,300,4.3 g,0.6 g,1.7 g,2.2 g,--,2 mg,146 mg,--,62.36 g,1 g,43 g,4 g,--,--,8 %,4 %
Pakora (mixed),Pakoras Pakoras,1,2 grams,90,4.5 g,0 g,0 g,0 g,0 g,0 mg,230 mg,0 mg,11 g,0 g,0 g,2 g,0 %,0 %,0 %,0 %
Paneer Pakora,Prabu Paneer Pakora,1,37 gram,90,4 g,2.5 g,0 g,0 g,0 g,15 mg,200 mg,0 mg,8 g,1 g,2 g,6 g,2 %,4 %,8 %,4 %
Mirchi Bhajji,Deep Frozen Pav Bhajji,1,1 piece,140,5 g,--,--,--,--,--,--,--,22 g,--,--,5 g,--,--,--,--
Bread Pakora,Chicken Pakora Pakora,1,1 Serving,391,18.7 g,3.91 g,--,--,--,--,--,--,27.2 g,3 g,1 g,27.2 g,--,--,--,--
Aloo Tikki,Amul Aloo Tikki,1,100 grams (2.5 aloo tikkis),157,5 g,2.9 g,1.8 g,1 g,0 g,--,0 mg,0 mg,24.3 g,0 g,0.2 g,3.6 g,0 %,0 %,0 %,0 %
Cutlet,VEG CUTLET VEG CUTLET,1,100 gm,283,11.3 g,--,--,--,--,--,--,--,34 g,--,3.8 g,9.4 g,--,--,--,--
Veg Roll,dohertys veg roll,1,50 g,121,8 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,13.2 g,0 g,0 g,11.5 g,0 %,0 %,0 %,0 %
Frankie,El Franky Spaguetti Del Franky,1,1 tasse cuite,747,15 g,5.1 g,0 g,0 g,0 g,11 mg,794 mg,"1,600 mg",84 g,18.2 g,18.8 g,52.3 g,43 %,55 %,11 %,38 %
Momos (veg),Prasuma veg momo,1,1 nos,35,0.95 g,0.65 g,--,--,0 g,0 mg,109.4 mg,--,5.43 g,--,1.1 g,1.09 g,--,--,--,--
Spring Roll,Vegetable Spring Roll,1,1 roll,148,6.22 g,0.56 g,3.19 g,2.05 g,0.12 g,11.61 mg,269.91 mg,68.68 mg,19.28 g,0.87 g,0.88 g,3.75 g,11.94 %,10.75 %,1.94 %,6.9 %
Chole Bhature,Homemade Bhature,1,1 Nos,187,10 g,2 g,6 g,2 g,--,--,0.5 mg,26.75 mg,19.5 g,--,--,3 g,--,--,--,2 %
Bread Upma,Ella upma Upma,1,1 cup,250,7 g,3.1 g,--,--,--,--,--,--,42 g,3 g,4 g,6 g,--,--,--,--
Sabudana Vada,Home-made Sabudana Vada (From Fatsecret.com),1,1 piece (25 g),176,8.4 g,1.15 g,1.59 g,5.39 g,--,--,299.7 mg,420 mg,23 g,2.75 g,1.01 g,3.47 g,--,--,--,--
Sabudana Khichdi,Aa Sabudana Khichdi,1,1 cup cooked,344,15.8 g,2.2 g,3.4 g,9.5 g,--,--,1.1 mg,120.1 mg,50.9 g,1.7 g,0.8 g,4.4 g,--,--,--,--
Medu Vada,Generic Medu Vada,1,2 pcs,334,11 g,3 g,--,--,0 g,0 mg,797 mg,--,43 g,1 g,1 g,14 g,1 %,4 %,10 %,79 %
Dosa,Rusingo dosa Dosa plain,1,1 cup (60gm),100,0 g,--,--,--,--,--,--,--,23 g,--,0 g,3 g,--,--,--,--
Rava Dosa,A2b Rava Dosa,1,1 piece,369,6 g,0 g,0 g,0 g,0 g,0 mg,611 mg,0 mg,70 g,0 g,0 g,9 g,0 %,0 %,0 %,0 %
Set Dosa,"Homemade Tarla Dalal Set or Sponge Dosa 5""",1,1 No,117,5.1 g,0 g,0 g,0 g,0 g,0 mg,1.5 mg,30.4 mg,15.6 g,0.8 g,0 g,2 g,1 %,0 %,1 %,1 %
Kanda Poha,24 mantra organic Kanda poha 100 GMs,1,1 cup,460,18.5 g,8 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,65 g,2.8 g,8 g,8 g,0 %,0 %,0 %,6 %
Indori Poha,Poha Rice poha,1,1 cup,180,1 g,0 g,0 g,0 g,0 g,0 mg,5 mg,0 mg,38 g,2 g,5 g,4 g,--,--,0 %,1.44 %
Methi Thepla,Athavle's Methi thepla,1,1 thepla,429,20.56 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,50.65 g,0 g,4.52 g,10.34 g,0 %,0 %,0 %,0 %
Paratha with curd,Classic Paratha Paratha,1,1 piece,268,10 g,3 g,--,--,--,0 mg,160 mg,--,39 g,2 g,2 g,4 g,--,--,--,--
Bread Butter,Giant Butter Bread,1,1 slice,90,1 g,0 g,0 g,0 g,0 g,0 mg,140 mg,30 mg,17 g,0.5 g,1 g,3 g,--,--,5 %,5.56 %
Bread Jam,Aozora Jam Bread,1,90 g,280,7 g,0 g,0 g,0 g,0 g,0 mg,120 mg,0 mg,48 g,0 g,28 g,5 g,0 %,0 %,0 %,0 %
Vegetable Sandwich,Delifresh Vegetable sandwich,1,1 sandwich (2 sides),133,6 g,--,--,--,--,3 mg,0.18 mg,--,16 g,3 g,--,5 g,16 %,12 %,2 %,3 %
Besan Chilla,"Homemade Besan Chilla With Tomato, Onion, Carrot",1,1 Besan Chilla,106,2 g,--,--,--,--,--,--,--,17 g,--,--,6 g,--,--,--,--
Moong Dal Chilla,Tata Sampan Moong Dal Chilla Mix,1,30 gms,108,0.63 g,--,--,--,--,--,--,--,18.69 g,--,--,6.78 g,--,--,--,--
Gulab Jamun,ghasitaram's gulab jamun,1,2 pieces,210,13 g,9 g,0 g,0 g,1 g,0 mg,0 mg,0 mg,18 g,1 g,0 g,6 g,2 %,0 %,2 %,0 %
Rasgulla,Aabadd Rasgulla,1,100 gm,223,3 g,--,--,--,--,--,--,--,45 g,--,--,3 g,--,--,--,--
Rasmalai,Indian Rasmalai,1,1 average,165,2.4 g,--,--,--,--,6.8 mg,109.7 mg,162.5 mg,33.2 g,--,--,4 g,0.9 %,1.1 %,6.2 %,0.9 %
Kheer (rice),HPB🇸🇬 Rice kheer,1,218 grams,353,13.73 g,6.65 g,--,--,--,--,137 mg,--,42.95 g,3.05 g,--,14.17 g,--,--,--,--
Seviyan Kheer,Homemade Seviyan (Vermecilli Dessert),1,133 g,689,25.9 g,15.7 g,--,--,--,64 mg,8.3 mg,--,108.9 g,3.3 g,57 g,9.2 g,--,--,--,--
Phirni,Could not find matching food layout
Gajar Halwa,taaza gajar halwa,1,40 g,160,8.7 g,2.9 g,0 g,0 g,0 g,0 mg,0.07 mg,0 mg,14 g,0 g,0 g,3.2 g,0 %,0 %,0 %,0 %
Moong Dal Halwa,Precia Rajasthani Moong Dal Halwa,1,100 g,480,26.1 g,6.4 g,--,--,0 g,60 mg,14 mg,--,43.3 g,1.5 g,32.4 g,18 g,--,--,--,--
Besan Ladoo,Lal Besan Ladoo,1,100 gm,484,22.7 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,62.94 g,0 g,1.52 g,7 g,0 %,0 %,0 %,0 %
Motichoor Ladoo,Sdsds Motichoor Ladoo,1,100 g,360,12 g,8 g,2 g,2 g,10 g,60 mg,100 mg,100 mg,60 g,1 g,40 g,2 g,--,--,--,--
Rava Ladoo,Ladoo Methi Ladoo,1,100 mg,451,22.5 g,--,--,--,--,--,--,--,57.1 g,--,--,8.2 g,--,--,--,--
Coconut Ladoo,Ladoo Methi Ladoo,1,100 mg,451,22.5 g,--,--,--,--,--,--,--,57.1 g,--,--,8.2 g,--,--,--,--
Barfi (kaju),brar's kaju pista roll barfi,1,3 rolls,195,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,0 g,0 g,0 g,0 g,0 %,0 %,0 %,0 %
Peda,sanchi peda sanchi peda,1,1 piece,424,20.7 g,9 g,6 g,0 g,0 g,0.03 mg,0.12 mg,0.23 mg,45 g,0 g,0 g,14 g,"1,482 %",0 %,0.17 %,0 %
Mysore Pak,MTR Mysore Pak,1,100 pieces,553,36.5 g,12 g,--,--,0 g,5 mg,3 mg,--,52.7 g,--,38.2 g,3.3 g,--,--,--,--
Soan Papdi,Haldiram's Soan Papdi,1,1 cup,160,8 g,3 g,--,--,0 g,0 mg,0 mg,218.7 mg,20 g,0 g,15 g,2 g,--,--,0.75 %,3.33 %
Imarti,Could not find matching food layout
Malpua,Could not find matching food layout
Rabri,rabri milk milk,1,500 ml,211,1.8 g,1.2 g,--,--,--,--,--,--,43 g,0.4 g,43 g,8.6 g,--,--,--,--
Shrikhand,Shridhi Shrikhand,1,100 gram,245,5 g,--,--,--,--,--,--,--,44.73 g,--,--,5.3 g,--,--,--,--
Basundi,Basundi(sangam) Sangam,1,100 gm,253,12 g,8.1 g,--,--,--,--,--,--,29 g,--,20 g,7.4 g,--,--,--,--
Kulfi,Grameen Kulfi Chocolate Kulfi,1,72 gram,231,12.41 g,7.31 g,--,--,0 g,--,--,--,24.4 g,--,16.99 g,5.29 g,--,--,--,--
Modak,Daadi’s Kaju Modak,1,18.5 g,83,3.5 g,0.6 g,--,--,--,--,1.4 mg,--,10.5 g,0.4 g,4.6 g,2.3 g,--,--,--,--
Halwa (atta),Golden Halwa Golden Halwa,1,2 Slices,201,7 g,3.9 g,--,--,--,--,1.5 mg,--,34.4 g,1.02 g,18.2 g,1.2 g,--,--,--,--
Masala Chai,Quik Tea Masala Chai,1,1 pouch,95,2 g,1 g,--,--,0 g,6 mg,9 mg,--,14 g,0 g,11 g,2 g,--,--,10 %,0 %
Lassi (sweet),Dosa Sweet Lassi,1,4 oz,180,1.5 g,0 g,0 g,0 g,1 g,5 mg,65 mg,0 mg,38 g,0 g,37 g,5 g,0 %,35 %,15 %,2 %
Lassi (salted),MC dairy Salt Lassi,1,1 cup,100,4 g,2.5 g,0 g,0 g,0.1 g,20 mg,580 mg,0 mg,10 g,0 g,9 g,4 g,4 %,2 %,20 %,0 %
Buttermilk (chaas),Chaas Chaas,1,100 g,24,0.6 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,2.8 g,0 g,0 g,1.8 g,0 %,0 %,0 %,0 %
Lemon Water (nimbu pani),Jalani Nimbu Pani,1,5 g,8,--,--,--,--,--,--,300 mg,--,2 g,--,1 g,--,--,--,--,--
Drumstick leaves (moringa),Generic Cooked Moringa Leaves,1,1 cup cooked,25,1 g,0 g,0 g,--,--,--,--,--,4.68 g,4.68 g,0.42 g,2.21 g,6 %,22 %,6 %,5 %
Colocasia leaves (arbi patta),Patta Coconut Chips,1,0.5 pack,120,8 g,7 g,--,--,0 g,0 mg,70 mg,--,11 g,2 g,9 g,0.5 g,--,--,0 %,0 %
Bathua,Could not find matching food layout
Red spinach,Trader Joes Red Spinach,1,3 oz.,30,0 g,0 g,0 g,0 g,0 g,0 mg,370 mg,0 mg,3 g,2 g,0 g,2 g,50 %,0 %,4 %,4 %
Mustard greens (sarson),Sarson ka saag mustard leaves in curry sauce,1,100 gram,30,0.3 g,0.1 g,--,--,--,--,--,--,5.1 g,3.65 g,0 g,1.53 g,--,--,--,--
Dill leaves (suva),slanina Suva,1,100 g,371,30.89 g,12.7 g,--,--,--,--,--,--,0.14 g,--,--,23.5 g,--,--,--,--
Lotus stem (kamal kakdi),kamal daliya,1,100 gram,359,0.92 g,--,--,--,--,--,--,--,74.81 g,--,--,12.99 g,--,--,--,--
Banana flower,Generic Banana Flower Fry,1,0.75 cup,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Banana stem,Kroger Pieces & Stems,1,1 can drained,20,0 g,0 g,--,--,0 g,0 mg,20 mg,94 mg,2 g,2 g,0 g,2 g,--,--,0 %,2 %
Raw jackfruit,"Nuttab Jackfruit, Peeled, Raw",1,100 g,83,0.3 g,0 g,0 g,0 g,0 g,0 mg,350 mg,3 mg,16.7 g,3 g,16.3 g,2.2 g,--,--,--,--
Ivy gourd (tindora),Home Made Ivy Gourd (Tindora) Subzi Dry,1,1 cup,100,6 g,--,--,--,--,--,500 mg,--,9 g,2 g,--,1 g,0 %,0 %,0 %,4 %
Cluster beans (gawar),Ravi Cluster Beans,1,130 gram,78,0.52 g,--,--,--,--,--,4 mg,--,14 g,4 g,--,4 g,2 %,109 %,18 %,8 %
Snake gourd,Generic Indian Snake Gourd - Raw,1,1 c (300 g),100,1.5 g,--,--,--,--,--,15 mg,--,10 g,2 g,0 g,1.5 g,--,--,--,--
Ash gourd,Bhikharam Chandmal Bikaneri Dry Petha Ash Gourd Swatched in Sugar,1,1.05 oz,348,1.06 g,0.5 g,0 g,0.5 g,0 g,0 mg,30 mg,--,80 g,2 g,71 g,4.7 g,--,--,--,--
Elephant yam (suran),Kitchen Xpress Suran Yam(Dices),1,0.666667 cup (85gm),110,0 g,--,--,--,--,--,9 mg,722 mg,25 g,--,1 g,2 g,--,--,2 %,5 %
Kohlrabi (ganth gobi),rahm kohlrabi kohlrabi,1,100 gr,65,2.3 g,0.8 g,--,--,--,--,--,--,4.5 g,--,--,5.9 g,--,--,--,--
Turnip (shalgam),Turnip Greens,1,"1 cup, chopped",29,0.33 g,0.08 g,0.13 g,0.02 g,0 g,0 mg,41.76 mg,292.32 mg,6.28 g,5.04 g,0.76 g,1.64 g,219.6 %,65.76 %,19.73 %,6.4 %
Zucchini (modern Indian cooking),Modern Maven Zucchini Corn Chowder,1,1 cup,193,7.13 g,4 g,0.96 g,2.17 g,--,25 mg,553 mg,781 mg,24.85 g,4 g,7.16 g,9.07 g,112 %,30 %,12 %,9 %
Cherry tomatoes,Cherry tomato,1,1 tomato,3,0.053 g,0.005 g,0.014 g,0.005 g,0 g,0 mg,0.68 mg,38.42 mg,0.483 g,0.204 g,0.447 g,0.139 g,0.362 %,4.617 %,0.17 %,0.207 %
Baby corn,baby corn ASDA Baby corn,1,100 Gram,37,0.5 g,0.1 g,--,--,--,--,--,--,4.4 g,--,--,2.8 g,--,--,--,--
Undhiyu,Vadilal quick treat Undhiyu,1,142 g,231,10 g,3 g,0 g,0 g,0 g,0 mg,751 mg,0 mg,33 g,0 g,0 g,3 g,0 %,6 %,11 %,21 %
Surti Undhiyu,Deep Surti Papdi,1,1 cup,70,0 g,0 g,--,--,0 g,0 mg,0 mg,--,11 g,3 g,0 g,7 g,--,--,5.2 %,2 %
Dal Baati,Dal,1,1 cup,348,10.344 g,6.024 g,0.744 g,2.88 g,--,24 mg,741.6 mg,844.8 mg,46.008 g,18 g,4.104 g,20.64 g,--,--,--,--
Churma,Could not find matching food layout
Litti Chokha,Litty Crispy cake with onions,1,1 wrap,345,19 g,--,--,--,--,--,--,--,38.4 g,--,--,5.6 g,--,--,--,--
Sarson ka Saag,Natco Sarson Ka Saag,1,100 gram,82,7.4 g,3.5 g,0 g,0 g,0 g,0 mg,1 mg,0 mg,1.8 g,4.5 g,0 g,2.2 g,0 %,0 %,0 %,0 %
Makki di Roti combo,FWN Makki roti (FWN),1,40 gram,91,3.6 g,--,--,--,--,--,--,--,13.7 g,1.5 g,--,1.3 g,--,--,--,--
