source_page_number,calories_url,recipe_url,list_title
1,https://www.tarladalal.com/calories-for-Puttu-Kerala-Homemade-Rice-Puttu-for-Breakfast-41331,https://www.tarladalal.com/Puttu-Kerala-Homemade-Rice-Puttu-for-Breakfast-41331r,Calories In Puttu – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Malabar-Paratha-Kerala-Parotta-40869,https://www.tarladalal.com/Malabar-Paratha-Kerala-Parotta-40869r,Calories In Malabar Paratha – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Broken-Wheat-Upma-Healthy-Dalia-Upma-4650,https://www.tarladalal.com/Broken-Wheat-Upma-Healthy-Dalia-Upma-4650r,Calories In Broken Wheat Upma – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Chana-Chaat--Kala-Chana-Chaat-Recipe-33111,https://www.tarladalal.com/Chana-Chaat--Kala-Chana-Chaat-Recipe-33111r,Calories In Chana Chaat – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Bhel-Puri-Mumbai-Roadside-Bhel-Puri-2795,https://www.tarladalal.com/Bhel-Puri-Mumbai-Roadside-Bhel-Puri-2795r,Calories In Bhel Puri – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Rasgulla-Mithai-Bengali-Style-Rasgulla-2005,https://www.tarladalal.com/Rasgulla-Mithai-Bengali-Style-Rasgulla-2005r,Calories In Rasgulla Mithai – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Onion-Tomato-Uttapam-Tomato-Onion-Uttapa-40921,https://www.tarladalal.com/Onion-Tomato-Uttapam-Tomato-Onion-Uttapa-40921r,Calories In Onion Tomato Uttapam – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Khaman-Dhokla-Soft-Gujarati-Khaman-Dhokla-33269,https://www.tarladalal.com/Khaman-Dhokla-Soft-Gujarati-Khaman-Dhokla-33269r,Calories In Khaman Dhokla – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Sambar-Recipe-South-Indian-Homemade-Sambar-Recipe-1557,https://www.tarladalal.com/Sambar-Recipe-South-Indian-Homemade-Sambar-Recipe-1557r,Calories In Sambar Recipe – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Sweet-Punjabi-Lassi-Dahi-Ki-Lassi-40433,https://www.tarladalal.com/Sweet-Punjabi-Lassi-Dahi-Ki-Lassi-40433r,Calories In Sweet Punjabi Lassi – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Besan-Ladoo-Indian-Mithai-2034,https://www.tarladalal.com/Besan-Ladoo-Indian-Mithai-2034r,Calories In Besan Ladoo – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Banana-Milkshake-41464,https://www.tarladalal.com/Banana-Milkshake-41464r,Calories In Banana Milkshake – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Sada-Dosa-1681,https://www.tarladalal.com/Sada-Dosa-1681r,Calories In Sada Dosa – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Vegetable-Biryani---Desi-Khana-1551,https://www.tarladalal.com/Vegetable-Biryani---Desi-Khana-1551r,Calories In Vegetable Biryani – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Moong-Dal-Kachori-3862,https://www.tarladalal.com/Moong-Dal-Kachori-3862r,Calories In Moong Dal Kachori – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Pesarattu-1688,https://www.tarladalal.com/Pesarattu-1688r,Calories In Pesarattu – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-jaleb-1991,https://www.tarladalal.com/jaleb-1991r,Calories In Jalebi – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Vegetable-Maggi-Noodle-Tiffin-Box-Noodles-40122,https://www.tarladalal.com/Vegetable-Maggi-Noodle-Tiffin-Box-Noodles-40122r,Calories In Vegetable Maggi Noodle – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Roasted-Makhana-Roasted-Lotus-Seeds-41901,https://www.tarladalal.com/Roasted-Makhana-Roasted-Lotus-Seeds-41901r,Calories In Roasted Makhana – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Multigrain-Roti-Healthy-Multigrain-Chapati-38746,https://www.tarladalal.com/Multigrain-Roti-Healthy-Multigrain-Chapati-38746r,Calories In Multigrain Roti – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Chana-Dal-Fry-Punjabi-Masala-Chana-Dal-42370,https://www.tarladalal.com/Chana-Dal-Fry-Punjabi-Masala-Chana-Dal-42370r,Calories In Chana Dal Fry – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Veg-Puff-40842,https://www.tarladalal.com/Veg-Puff-40842r,Calories In Veg Puff – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Roti--How-To-Make-Soft-Roti-Or-Phulka-Or-Chapati-38565,https://www.tarladalal.com/Roti--How-To-Make-Soft-Roti-Or-Phulka-Or-Chapati-38565r,Calories In Roti – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Gulab-Jamun---Mithai-2064,https://www.tarladalal.com/Gulab-Jamun---Mithai-2064r,Calories In Gulab Jamun – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Sprouted-and-Boiled-Matki-2792,https://www.tarladalal.com/Sprouted-and-Boiled-Matki-2792r,Calories In Sprouted And Boiled Matki – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Spicy-Yellow-Moong-Dal-Healthy-Indian-Moong-Dal-22174,https://www.tarladalal.com/Spicy-Yellow-Moong-Dal-Healthy-Indian-Moong-Dal-22174r,Calories In Spicy Yellow Moong Dal – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Coconut-Chutney---Idlis-and-Dosas-1653,https://www.tarladalal.com/Coconut-Chutney---Idlis-and-Dosas-1653r,Calories In Coconut Chutney – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Jowar-Bhakri-Healthy-Jowar-Bhakri-40619,https://www.tarladalal.com/Jowar-Bhakri-Healthy-Jowar-Bhakri-40619r,Calories In Jowar Bhakri – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Rajma-22784,https://www.tarladalal.com/Rajma-22784r,Calories In Rajma – Nutrition Facts & Health Analysis
