food_name,recipe_title,recipe_url,calories_url,source_page_number,ingredient_count,ingredient_sections,serving_label,nutrient_heading,carbohydrates_value,cholesterol_value,energy_value,fat_value,fiber_value,protein_value,sodium_value
Pink Sauce Pasta,Pink Sauce Pasta Recipe (Indian Style Pink Sauce Pasta),https://www.tarladalal.com/pink-sauce-pasta-42923r,https://www.tarladalal.com/calories-for-Pink-Sauce-Pasta-42923,44,23,For Serving | For The Red Sauce | For The White Sauce | Other Ingredients,serving,Nutrient values (Abbrv) per serving,50.0 g,46 mg,443 Calories,19.4 g,2.5 g,16.6 g,406 mg
Bhindi Sambhariya,Bhindi Sambhariya Recipe (Gujarati Style Stuffed Bhindi),https://www.tarladalal.com/bhindi-sambhariya-gujarat-style-stuffed-bhindi-595r,https://www.tarladalal.com/calories-for-Bhindi-Sambhariya-Gujarati-Style-Stuffed-Bhindi-595,44,14,For Bhindi Sambhariya | To Be Mixed Into A Filling,serving,Nutrient values (Abbrv) per serving,14.1 g,0 mg,406 Calories,37.6 g,5.7 g,2.8 g,12 mg
Farali Pattice,Farali Pattice Recipe (Farali Aloo Pattice),https://www.tarladalal.com/farali-pattice--mumbai-roadside-recipes--33440r,https://www.tarladalal.com/calories-for-Farali-Pattice--Mumbai-Roadside-Recipes--33440,44,19,For Serving With Farali Pattice | Other Ingredients For Farali Pattice | To Be Mixed Together Into A Potato Mixture For Farali Pattice | To Be Mixed Together Into A Stuffing For Farali Pattice | To Be Mixed Together Into Sweetened Curds,plate,Nutrient values (Abbrv) per plate,36.3 g,8 mg,353 Calories,19.5 g,3.8 g,6.3 g,20 mg
Cold Cucumber Soup,Cold Cucumber Soup Recipe (Indian Style Cucumber Soup),https://www.tarladalal.com/cold-cucumber-soup-1346r,https://www.tarladalal.com/calories-for-Cold-Cucumber-Soup-1346,44,7,For Cold Cucumber Soup | For The Garnish,serving,Nutrient values (Abbrv) per serving,4.3 g,5 mg,82 Calories,5.6 g,2.4 g,1.9 g,17 mg
Paneer Capsicum Sabzi,Paneer Capsicum Sabzi Recipe (Shimla Mirch Paneer Sabzi),https://www.tarladalal.com/paneer-capsicum-sabzi-shimla-mirch-paneer-sabzi-33001r,https://www.tarladalal.com/calories-for-Paneer-Capsicum-Sabzi-Shimla-Mirch-Paneer-Sabzi-33001,44,17,For The Garnish | For The Marinated Paneer | Other Ingredients For Paneer Capsicum Sabzi,serving,Nutrient values (Abbrv) per serving,10.5 g,0 mg,80 Calories,3.0 g,3.4 g,3.0 g,1484 mg
Chana Palak,Chana Palak Recipe (Chana Palak Masala),https://www.tarladalal.com/chana-palak-healthy-heart-chole-palak-recipe-5570r,https://www.tarladalal.com/calories-for-Chana-Palak-Healthy-Heart-Chole-Palak-Recipe-5570,44,15,For Chana Palak,serving,Nutrient values (Abbrv) per serving,32.2 g,0 mg,218 Calories,5.5 g,15.3 g,9.9 g,78 mg
Makai Mooli And Methi Paratha,Makai Mooli And Methi Paratha Recipe,https://www.tarladalal.com/makai-mooli-and-methi-paratha-punjabi-breakfast-42407r,https://www.tarladalal.com/calories-for-Makai-Mooli-and-Methi-Paratha-Punjabi-Breakfast-42407,44,10,For Makai Mooli and Methi Paratha | For Serving,paratha,Nutrient values (Abbrv) per paratha,12.5 g,0 mg,116 Calories,7.0 g,1.6 g,1.3 g,6 mg
Vegetable And Bean Soup,Vegetable And Bean Soup Recipe,https://www.tarladalal.com/vegetable-and-bean-soup-5270r,https://www.tarladalal.com/calories-for-Vegetable-and-Bean-Soup-5270,44,10,For Vegetable and Bean Soup,serving,Nutrient values (Abbrv) per serving,18.7 g,0 mg,124 Calories,2.9 g,3.2 g,5.6 g,21 mg
Paneer Chilli Flake Balls,Paneer Chilli Flake Balls Recipe (Healthy Indian Snack),https://www.tarladalal.com/paneer-chilli-flake-balls-healthy-cold-indian-snack-41232r,https://www.tarladalal.com/calories-for-Paneer-Chilli-Flake-Balls-Healthy-Cold-Indian-Snack-41232,44,4,For Paneer Chilli Flake Balls,ball,Nutrient values (Abbrv) per ball,0.8 g,0 mg,28 Calories,2.2 g,0.0 g,1.3 g,0 mg
Cauliflower Peas Sabzi,Cauliflower Peas Sabzi Recipe (Weight Loss Green Peas),https://www.tarladalal.com/grated-cauliflower-with-peas-22214r,https://www.tarladalal.com/calories-for-Grated-Cauliflower-with-Peas-22214,44,13,For Grated Cauliflower With Peas | For The Garnish,serving,Nutrient values (Abbrv) per serving,9.4 g,0 mg,57 Calories,0.3 g,5.0 g,4.3 g,33 mg
Multigrain Paratha,Multigrain Paratha Recipe (Indian Multi Flour Paratha),https://www.tarladalal.com/multigrain-paratha-42920r,https://www.tarladalal.com/calories-for-Multigrain-Paratha-42920,44,11,For Multigrain Paratha,paratha,Nutrient values (Abbrv) per paratha,16.8 g,0 mg,141 Calories,7.1 g,3.5 g,3.3 g,6 mg
High Fibre Chillas,High Fibre Chillas Recipe | Buckwheat & Oats Pancake,https://www.tarladalal.com/high-fibre-chillas-buckwheat-oats-indian-pancake-3546r,https://www.tarladalal.com/calories-for-High-Fibre-Chillas-Buckwheat-Oats-Indian-Pancake-3546,44,11,For High Fibre Chillas | For Serving With High Fibre Chillas,chila,Nutrient values (Abbrv) per chila,16.6 g,0 mg,109 Calories,3.3 g,2.7 g,3.3 g,14 mg
Butter Murukku,Butter Murukku Recipe (Butter Chakli),https://www.tarladalal.com/butter-murukku-recipe-butter-chakli-42068r,https://www.tarladalal.com/calories-for-Butter-Murukku-Recipe-Butter-Chakli-42068,44,9,For Butter Murukku,cup,Nutrient values (Abbrv) per cup,37.4 g,12 mg,393 Calories,24.8 g,2.0 g,4.2 g,44 mg
Hare Mutter Ki Puri,Hare Mutter Ki Puri Recipe,https://www.tarladalal.com/hare-mutter-ki-puri-3643r,https://www.tarladalal.com/calories-for-Hare-Mutter-ki-Puri-3643,44,19,For Serving | For The Dough | For The Stuffing | Other Ingredients,stuffed puri,Nutrient values (Abbrv) per stuffed puri,22.9 g,0 mg,180 Calories,8.1 g,5.1 g,4.8 g,28 mg
Protein Rich Palak Chana Pulao,Protein Rich Palak Chana Pulao Recipe,https://www.tarladalal.com/protein-rich-palak-chana-pulao-22146r,https://www.tarladalal.com/calories-for-Protein-Rich-Palak-Chana-Pulao-22146,44,13,For Palak Chana Pulao | For The Garnish,serving,Nutrient values (Abbrv) per serving,31.2 g,0 mg,188 Calories,4.4 g,7.5 g,5.9 g,37 mg
Crispy Rice Balls,Crispy Rice Balls Recipe (Rice Balls With Leftover Rice),https://www.tarladalal.com/crispy-rice-balls-7591r,https://www.tarladalal.com/calories-for-Crispy-Rice-Balls-7591,44,10,For Serving | Main Ingredients,ball,Nutrient values (Abbrv) per ball,5.4 g,0 mg,48 Calories,2.8 g,0.3 g,0.4 g,1 mg
Warm Lemon Water With Turmeric,Warm Lemon Water With Turmeric Recipe (Anti Inflammatory),https://www.tarladalal.com/warm-lemon-water-with-turmeric-anti-inflammatory-and-good-for-cold-41926r,https://www.tarladalal.com/calories-for-Warm-Lemon-Water-with-Turmeric-Anti-Inflammatory-and-Good-for-Cold-41926,44,2,Warm Lemon Water With Turmeric,glas,Nutrient values (Abbrv) per glas,0.6 g,0 mg,3 Calories,0.0 g,0.1 g,0.1 g,0 mg
Bhel Puri,Bhel Puri Recipe (Bhel Puri Chaat),https://www.tarladalal.com/bhel-puri--bhel-puri-chaat-recipe-4093r,https://www.tarladalal.com/calories-for-Bhel-Puri--Bhel-Puri-Chaat-Recipe-4093,44,16,For Bhel Puri,serving,Nutrient values (Abbrv) per serving,60.0 g,0 mg,467 Calories,19.9 g,6.7 g,11.8 g,35 mg
French Onion Soup,French Onion Soup Recipe (Vegetarian French Onion Soup),https://www.tarladalal.com/french-onion-soup--vegetarian-french-onion-soup-44r,https://www.tarladalal.com/calories-for-French-Onion-Soup--Vegetarian-French-Onion-Soup-44,44,9,For The Cheese Croutons | For The French Onion Soup,serving,Nutrient values (Abbrv) per serving,4.9 g,18 mg,76 Calories,5.4 g,0.1 g,1.9 g,108 mg
Papadi (Chaat),Papadi (Chaat) Recipe (Indian Papdi Chaat),https://www.tarladalal.com/papadi-chaat-papdi-2787r,https://www.tarladalal.com/calories-for-Papadi-chaat-Papdi-2787,44,6,For Papdis,plate,Nutrient values (Abbrv)per plate,3.9 g,0 mg,43 Calories,2.8 g,0.0 g,0.6 g,0 mg
Healthy Uttapam,Healthy Uttapam Recipe (Diabetic Friendly Soya Uttapam),https://www.tarladalal.com/healthy-uttapam-43069r,https://www.tarladalal.com/calories-for-Healthy-Uttapam-43069,44,14,For Healthy Uttapam | To Be Mixed Into Topping,uttapam,Nutrient values (Abbrv) per uttapam,5.4 g,2 mg,59 Calories,3.1 g,0.9 g,2.6 g,2 mg
Whole Wheat Naan,Whole Wheat Naan Recipe,https://www.tarladalal.com/whole-wheat-naan-with-instant-dry-yeast-40859r,https://www.tarladalal.com/calories-for-Whole-Wheat-Naan-with-Instant-Dry-Yeast-40859,44,6,For Whole Wheat Naan,naan,Nutrient values (Abbrv) per naan,16.6 g,4 mg,88 Calories,1.6 g,2.5 g,2.6 g,17 mg
Coconut Sheera,Coconut Sheera Recipe (Coconut Rava Sheera),https://www.tarladalal.com/coconut-sheera-2028r,https://www.tarladalal.com/calories-for-Coconut-Sheera-2028,44,9,For Coconut Sheera,serving,Nutrient values (Abbrv) per serving,43.4 g,0 mg,439 Calories,26.7 g,1.0 g,5.5 g,5 mg
Aloo Mutter Korma,Aloo Mutter Korma Recipe (Punjabi Aloo Matar Korma),https://www.tarladalal.com/aloo-mutter-korma-punjabi-aloo-matar-korma-22201r,https://www.tarladalal.com/calories-for-Aloo-Mutter-Korma-Punjabi-Aloo-Matar-Korma-22201,44,14,For Aloo Mutter Korma | For The Garnish,serving,Nutrient values (Abbrv) per serving,13.1 g,0 mg,99 Calories,3.9 g,3.4 g,2.8 g,10 mg
Methi Ghavan,Methi Ghavan Recipe (Fenugreek Rice Dosa),https://www.tarladalal.com/methi-ghavan-1696r,https://www.tarladalal.com/calories-for-Methi-Ghavan-1696,44,8,For Methi Ghavan,ghavan,Nutrient values (Abbrv) per ghavan,9.1 g,0 mg,64 Calories,2.7 g,0.3 g,0.7 g,0 mg
Banana Paratha,Banana Paratha Recipe (Delhi Banana Paratha Street Food),https://www.tarladalal.com/banana-paratha-delhi-street-food-41356r,https://www.tarladalal.com/calories-for-Banana-Paratha-Delhi-Street-Food-41356,44,7,For Banana Paratha,paratha,Nutrient values (Abbrv) per paratha,31.9 g,0 mg,165 Calories,3.1 g,3.6 g,3.4 g,18 mg
Anti-Aging Breakfast Platter | Healthy Indian Start,Anti-Aging Breakfast Platter | Healthy Indian Start,https://www.tarladalal.com/anti--aging-breakfast-platter-763r,https://www.tarladalal.com/calories-for-Anti--Aging-Breakfast-Platter-763,44,11,For Anti- Aging Breakfast Platter,serving,Nutrient values (Abbrv) per serving,46.1 g,0 mg,324 Calories,9.0 g,5.8 g,15.0 g,154 mg
Lajjatdar Handi Biryani,Lajjatdar Handi Biryani Recipe (Mughlai Recipes),https://www.tarladalal.com/lajjatdar-handi-biryani-30968r,https://www.tarladalal.com/calories-for-Lajjatdar-Handi-Biryani-30968,44,32,For Serving | For The Chana Masala Mixture | For The Rice | Other Ingredients | To Be Mixed Together Into A Curds Mixture,serving,Nutrient values (Abbrv) per serving,58.8 g,18 mg,525 Calories,24.4 g,4.0 g,11.5 g,51 mg
Masala Khichdi Paratha,Masala Khichdi Paratha Recipe (Leftover Khichdi Paratha),https://www.tarladalal.com/masala-khichdi-paratha-leftover-khichdi-paratha-36102r,https://www.tarladalal.com/calories-for-Masala-Khichdi-Paratha-Leftover-Khichdi-Paratha-36102,44,14,For Masala Khichdi Paratha | For Serving With Masala Khichdi Paratha,paratha,Nutrient values (Abbrv) per paratha,18.9 g,0 mg,131 Calories,4.4 g,3.4 g,4.2 g,11 mg
Healthy Green Chutney,Healthy Green Chutney Recipe (Low Calorie Green Chutney),https://www.tarladalal.com/healthy-green-chutney-32631r,https://www.tarladalal.com/calories-for-Healthy-Green-Chutney-32631,44,7,For Healthy Green Chutney,cup (11 tbsp),Nutrient values (Abbrv) per cup (11 tbsp),14.4 g,0 mg,91 Calories,1.0 g,7.8 g,6.0 g,22 mg
Crã¨Me Brulã©E,Crã¨Me Brulã©E Recipe (Quick Dessert Recipes),https://www.tarladalal.com/creeme-brulee-4718r,https://www.tarladalal.com/calories-for-Creme-Brulee-4718,44,7,For The Caramel Syrup | Main Ingredients,brulée,Nutrient values (Abbrv) per brulée,37.4 g,13 mg,274 Calories,8.7 g,0.0 g,7.0 g,15 mg
Seviyan Pulao,Seviyan Pulao Recipe | Easy Vermicelli Pulao Indian,https://www.tarladalal.com/seviyan-pulao-semiya-pulao-vermicelli-pulao-40372r,https://www.tarladalal.com/calories-for-Seviyan-Pulao-Semiya-Pulao-Vermicelli-Pulao-40372,44,14,For Seviyan Pulao,plate,Nutrient values (Abbrv)per plate,45.8 g,0 mg,285 Calories,8.1 g,6.1 g,7.3 g,27 mg
Til Gur Ki Roti,Til Gur Ki Roti Recipe (Jaggery And Sesame Roti),https://www.tarladalal.com/til-gur-ki-roti-jaggery-and-sesame-roti-5697r,https://www.tarladalal.com/calories-for-Til-Gur-ki-Roti-Jaggery-and-Sesame-Roti-5697,44,6,For Til Gur ki Roti,roti,Nutrient values (Abbrv) per roti,21.7 g,0 mg,119 Calories,2.7 g,2.6 g,2.7 g,4 mg
Almond Biscotti,Almond Biscotti Recipe (Indian Almond Cookies),https://www.tarladalal.com/almond-biscotti-4965r,https://www.tarladalal.com/calories-for-Almond-Biscotti-4965,44,9,for Almond Biscotti,biscotti,Nutrient values (Abbrv) per biscotti,15.1 g,0 mg,127 Calories,6.2 g,0.6 g,3.6 g,1 mg
Corn Panki,Corn Panki Recipe (Gujarati Sweet Corn Panki),https://www.tarladalal.com/corn-panki-55r,https://www.tarladalal.com/calories-for-Corn-Panki-55,44,9,For Corn Panki | For Serving With Corn Panki,panki,Nutrient values (Abbrv) per panki,7.8 g,0 mg,84 Calories,5.4 g,1.1 g,1.6 g,5 mg
Sweet Potato Halwa,Sweet Potato Halwa Recipe,https://www.tarladalal.com/sweet-potato-halwa-shakarkand-halwa-22333r,https://www.tarladalal.com/calories-for-Sweet-Potato-Halwa-Shakarkand-Halwa-22333,44,8,For Sweet Potato Halwa,serving,Nutrient values (Abbrv) per serving,24.5 g,6 mg,170 Calories,5.6 g,1.5 g,3.5 g,16 mg
Mag Dal Ni Kachori,Mag Dal Ni Kachori Recipe (Gujarati Mag Dal Ni Kachori),https://www.tarladalal.com/mag-dal-ni-kachori--gujarat-recipe-564r,https://www.tarladalal.com/calories-for-Mag-Dal-Ni-Kachori--Gujarati-Recipe-564,44,19,For Serving | For The Dough | For The Filling | Other Ingredients,kachori,Nutrient values (Abbrv) per kachori,18.0 g,0 mg,169 Calories,8.3 g,1.5 g,5.4 g,6 mg
Chocolate Walnut Fudge,Chocolate Walnut Fudge Recipe (Walnut Fudge Recipes),https://www.tarladalal.com/chocolate-walnut-fudge-1952r,https://www.tarladalal.com/calories-for-Chocolate-Walnut-Fudge-1952,45,6,For Chocolate Walnut Fudge,serving,Nutrient values (Abbrv) per serving,29.6 g,26 mg,341 Calories,22.9 g,1.7 g,6.5 g,138 mg
Dhansak Dal,Dhansak Dal Recipe (Parsi Style Dhansak Dal),https://www.tarladalal.com/dhansak-dal-veg-dhansak-recipe-3579r,https://www.tarladalal.com/calories-for-Dhansak-Dal-Veg-Dhansak-Recipe-3579,45,22,For Dhansak Dal | To Be Ground Into A Smooth Paste (using 3 Tbsp Water ),serving,Nutrient values (Abbrv) per serving,20.4 g,0 mg,124 Calories,1.8 g,3.8 g,6.9 g,13 mg
Lehsuni Palak Paneer,Lehsuni Palak Paneer Recipe (Lasooni Palak Paneer Sabzi),https://www.tarladalal.com/lehsuni-palak-paneer-sabzi-40431r,https://www.tarladalal.com/calories-for-Lehsuni-Palak-Paneer-Sabzi-40431,45,22,For Lehsuni Palak Paneer | For The Tempering,serving,Nutrient values (Abbrv) per serving,12.9 g,0 mg,374 Calories,31.1 g,3.5 g,10.3 g,66 mg
Palak Bajra Khichdi,Palak Bajra Khichdi Recipe (Vegetarian High Protein Khichdi),https://www.tarladalal.com/palak-bajra-khichdi-5712r,https://www.tarladalal.com/calories-for-Palak-Bajra-Khichdi-5712,45,8,For Palak Bajra Khichdi,plate,Nutrient values (Abbrv)per plate,38.9 g,0 mg,249 Calories,5.2 g,6.4 g,11.8 g,25 mg
Tikha Gathiya,Tikha Gathiya Recipe (Gujarati Tikha Gathia),https://www.tarladalal.com/gujarat-tikha-gathiya-teekha-gathiya-41212r,https://www.tarladalal.com/calories-for-Gujarati-Tikha-Gathiya-Teekha-Gathiya-41212,45,7,For Tikha Gathiya,cup,Nutrient values (Abbrv) per cup,39.9 g,0 mg,488 Calories,30.4 g,10.2 g,13.9 g,49 mg
Falafel,Falafel Recipe (Indian Style Falafel),https://www.tarladalal.com/falafel-6511r,https://www.tarladalal.com/calories-for-Falafel-6511,45,17,For Falafel | For Serving,falafel,Nutrient values (Abbrv) per falafel,6.2 g,0 mg,94 Calories,6.9 g,2.7 g,1.7 g,4 mg
Maggi Bhel,Maggi Bhel Recipe (Indian Maggi Bhel Chaat),https://www.tarladalal.com/10-minute-maggi-bhel-indian-maggi-bhel-chaat-42084r,https://www.tarladalal.com/calories-for-10-Minute-Maggi-Bhel-Indian-Maggi-Bhel-Chaat-42084,45,15,For 10 Minute Maggi Bhel | For The Garnish | To Be Mixed Into A Paste,serving,Nutrient values (Abbrv) per serving,56.6 g,0 mg,411 Calories,16.1 g,1.8 g,11.5 g,1049 mg
Palak Matar Paneer Sabzi,Palak Matar Paneer Sabzi Recipe (Palak Matar Paneer Masala),https://www.tarladalal.com/palak-matar-paneer-sabzi-spinach-and-green-peas-sabzi-41214r,https://www.tarladalal.com/calories-for-Palak-Matar-Paneer-Sabzi-Spinach-and-Green-Peas-Sabzi-41214,45,12,For Palak Matar Paneer Sabzi,serving,Nutrient values (Abbrv) per serving,11.1 g,1 mg,232 Calories,16.7 g,5.1 g,9.2 g,54 mg
Mixed Sprouts Sabzi,Mixed Sprouts Sabzi Recipe,https://www.tarladalal.com/mixed-sprouts-sabzi-39690r,https://www.tarladalal.com/calories-for-Mixed-Sprouts-Sabzi-39690,45,11,Mixed Sprouts Sabzi,serving,Nutrient values (Abbrv) per serving,10.0 g,0 mg,80 Calories,3.0 g,4.3 g,3.3 g,12 mg
Kachi Keri Ni Chutney,Kachi Keri Ni Chutney Recipe (Raw Mango Chutney),https://www.tarladalal.com/kacchi-keri-ni-chutney--gujarat-recipe-572r,https://www.tarladalal.com/calories-for-Kacchi-Keri-Ni-Chutney--Gujarati-Recipe-572,45,7,For Kacchi Keri ni Chutney,cup,Nutrient values (Abbrv) per cup,38.3 g,0 mg,157 Calories,0.5 g,3.0 g,1.5 g,21 mg
Almond Cinnamon Milk,Almond Cinnamon Milk Recipe,https://www.tarladalal.com/almond-honey-cinnamon-milk-healthy-vegan-breakfast-recipe-42189r,https://www.tarladalal.com/calories-for-Almond-Honey-Cinnamon-Milk-Healthy-Vegan-Breakfast-Recipe-42189,45,4,For Almond Honey Cinnamon Milk,glas,Nutrient values (Abbrv) per glas,8.0 g,0 mg,146 Calories,11.8 g,2.4 g,4.2 g,0 mg
Dry Fruit Stuffed Dates,Dry Fruit Stuffed Dates Recipe,https://www.tarladalal.com/dry-fruit-stuffed-dates-40860r,https://www.tarladalal.com/calories-for-Dry-Fruit-Stuffed-Dates-40860,45,6,For Dry Fruit Stuffed Dates | To Be Mixed Into A Stuffing For Dry Fruit Stuffed Dates,stuffed date,Nutrient values (Abbrv) per stuffed date,3.8 g,0 mg,33 Calories,1.5 g,0.4 g,1.0 g,0 mg
Rava Vegetable Pancake,Rava Vegetable Pancake Recipe (Sooji Vegetable Pancake),https://www.tarladalal.com/mini-rava-vegetable-pancakes-33100r,https://www.tarladalal.com/calories-for-Mini-Rava-Vegetable-Pancakes-33100,45,12,For Mini Rava Vegetable Pancakes | For Serving With Mini Rava Vegetable Pancakes,mini pancake,Nutrient values (Abbrv) per mini pancake,4.5 g,1 mg,47 Calories,2.8 g,0.2 g,0.8 g,3 mg
Soya Upma,Soya Upma Recipe (Gluten Free),https://www.tarladalal.com/soya-upma---healthy-breakfast-4653r,https://www.tarladalal.com/calories-for-Soya-Upma---Healthy-Breakfast-4653,45,10,For Soya Upma | For The Garnish,serving,Nutrient values (Abbrv) per serving,12.0 g,0 mg,175 Calories,9.4 g,6.3 g,10.7 g,8 mg
Green Thepla,Green Thepla Recipe (Palak Thepla),https://www.tarladalal.com/green-thepla-high-fibre-palak-paratha-35076r,https://www.tarladalal.com/calories-for-Green-Thepla-High-Fibre-Palak-Paratha-35076,45,21,For The Topping | Other Ingredients For Mini Green Theplas,mini thepla,Nutrient values (Abbrv) per mini thepla,11.3 g,0 mg,84 Calories,3.2 g,2.2 g,3.0 g,8 mg
Black Jamun Ice - Cream,Black Jamun Ice - Cream Recipe (Indian Diabetic Recipes),https://www.tarladalal.com/black-jamun-ice---cream-7470r,https://www.tarladalal.com/calories-for-Black-Jamun-Ice---Cream-7470,45,4,Main Ingredients,serving,Nutrient values (Abbrv) per serving,7.7 g,0 mg,43 Calories,0.2 g,0.6 g,2.6 g,33 mg
Poha Phirni,Poha Phirni Recipe (Indian Pregnancy Recipes),https://www.tarladalal.com/poha-phirni-22442r,https://www.tarladalal.com/calories-for-Poha-Phirni-22442,45,6,For The Garnish | Main Ingredients,serving,Nutrient values (Abbrv) per serving,38.1 g,24 mg,307 Calories,10.2 g,1.7 g,7.9 g,38 mg
Green Peas And Methi Pulao,Green Peas And Methi Pulao Recipe (Acidity Friendly Pulao),https://www.tarladalal.com/green-peas-and-methi-pulao-22376r,https://www.tarladalal.com/calories-for-Green-Peas-and-Methi-Pulao-22376,45,7,for Green Peas and Methi Pulao,serving,Nutrient values (Abbrv) per serving,24.8 g,0 mg,137 Calories,2.5 g,2.8 g,3.5 g,9 mg
Green Peas Pancake,Green Peas Pancake Recipe (Green Peas Cheela With Moong Dal),https://www.tarladalal.com/green-pea-pancakes-3508r,https://www.tarladalal.com/calories-for-Green-Pea-Pancakes-3508,45,9,For Green Pea Pancakes | For Serving With Green Pea Pancakes,pancake,Nutrient values (Abbrv) per pancake,15.0 g,0 mg,97 Calories,1.5 g,2.9 g,6.0 g,7 mg
Garlic Rotis,Garlic Rotis Recipe | Green Garlic Multigrain Roti,https://www.tarladalal.com/garlic-rotis-green-garlic-multigrain-roti-22316r,https://www.tarladalal.com/calories-for-Garlic-Rotis-Green-Garlic-Multigrain-Roti-22316,45,8,For Garlic Rotis | Other Ingredients For Garlic Rotis,plate,Nutrient values (Abbrv)per plate,11.4 g,0 mg,67 Calories,1.7 g,1.8 g,1.9 g,80 mg
Satpadi Roti,Satpadi Roti Recipe,https://www.tarladalal.com/satpadi-roti-40501r,https://www.tarladalal.com/calories-for-Satpadi-Roti-40501,45,7,For Serving | Main Ingredients | To Be Ground Into A Mango Pickle Coarse Mixture,roti,Nutrient values (Abbrv) per roti,18.9 g,0 mg,124 Calories,4.4 g,3.2 g,3.1 g,73 mg
Vegetable Soup,Vegetable Soup Recipe (Indian Vegetable Soup),https://www.tarladalal.com/vegetable-soup--indian-style-vegetarian-soup-40r,https://www.tarladalal.com/calories-for-Vegetable-Soup--Indian-Style-Vegetarian-Soup-40,45,13,For The Garnish | For Vegetable Soup,serving,Nutrient values (Abbrv) per serving,13.9 g,0 mg,134 Calories,7.9 g,4.3 g,2.6 g,108 mg
Strawberry Cream,Strawberry Cream Recipe (Strawberry With Whipped Cream),https://www.tarladalal.com/strawberry-cream-strawberry-with-whipped-cream-41349r,https://www.tarladalal.com/calories-for-Strawberry-Cream-Strawberry-with-Whipped-Cream-41349,45,4,For Strawberry Cream | For The Garnish,glasse,Nutrient values (Abbrv) per glasse,41.4 g,0 mg,384 Calories,23.5 g,1.8 g,1.6 g,32 mg
Railway Patties,Railway Patties Recipe (Train Vegetable Cutlet),https://www.tarladalal.com/railway-patties-2565r,https://www.tarladalal.com/calories-for-Railway-Patties-2565,45,21,For Patties Mixture | For Serving | To Be Mixed Into Slurry,plate,Nutrient values (Abbrv)per plate,10.0 g,0 mg,101 Calories,6.3 g,1.3 g,1.2 g,7 mg
Mixed Vegetable Pie,Mixed Vegetable Pie Recipe (Indian Baked Pie),https://www.tarladalal.com/mixed-vegetable-pie-2464r,https://www.tarladalal.com/calories-for-Mixed-Vegetable-Pie-2464,45,14,for Mixed Vegetable Pie,serving,Nutrient values (Abbrv) per serving,19.4 g,0 mg,156 Calories,6.9 g,1.5 g,9.0 g,63 mg
Dapka Kadhi,Dapka Kadhi Recipe (Gujaratiâ Dapka Kadhi),https://www.tarladalal.com/dapka-kadhi--gujarat-recipe-608r,https://www.tarladalal.com/calories-for-Dapka-Kadhi--Gujarati-Recipe-608,45,15,For Dapka Kadhi | For Serving | For The Dapkas | For The Tempering,serving,Nutrient values (Abbrv) per serving,27.7 g,3 mg,203 Calories,5.2 g,4.7 g,10.4 g,23 mg
Tuppa Dosa,Tuppa Dosa Recipe (Ghee Dosa),https://www.tarladalal.com/tuppa-dosa-soft-ghee-dosa-41384r,https://www.tarladalal.com/calories-for-Tuppa-Dosa-Soft-Ghee-Dosa-41384,45,7,For Serving | for Tuppa Dosa,dosa,Nutrient values (Abbrv) per dosa,12.5 g,0 mg,84 Calories,2.7 g,1.3 g,2.4 g,4 mg
Healthy Bhapa Doi,Healthy Bhapa Doi Recipe,https://www.tarladalal.com/healthy-bhapa-doi-42005r,https://www.tarladalal.com/calories-for-Healthy-Bhapa-Doi-42005,45,4,Main Ingredients,serving,Nutrient values (Abbrv) per serving,6.8 g,0 mg,59 Calories,2.7 g,0.0 g,2.1 g,46 mg
Tomato Coconut Chutney,Tomato Coconut Chutney Recipe (Coconut Tomato Chutney),https://www.tarladalal.com/tomato-coconut-chutney-3409r,https://www.tarladalal.com/calories-for-Tomato-Coconut-Chutney-3409,45,9,For Tomato Coconut Chutney,tbsp,Nutrient values (Abbrv) per tbsp,38.2 g,0 mg,648 Calories,51.6 g,11.7 g,7.8 g,42 mg
Chatpata Dahiwala Bread,Chatpata Dahiwala Bread Recipe (Quick Indian Snack),https://www.tarladalal.com/chatpata-dahiwala-bread-curd-bread-snack-2876r,https://www.tarladalal.com/calories-for-Chatpata-Dahiwala-Bread-Curd-Bread-Snack-2876,45,12,For Chatpata Dahiwala Bread | For The Garnish,plate,Nutrient values (Abbrv)per plate,29.3 g,8 mg,320 Calories,18.6 g,0.0 g,6.1 g,10 mg
Low Fat Seviyan Kheer,Low Fat Seviyan Kheer Recipe (Low Calorie Vermicelli Kheer),https://www.tarladalal.com/low-fat-seviyan-kheer--low-calorie-vermicelli-kheer-3604r,https://www.tarladalal.com/calories-for-Low-Fat-Seviyan-Kheer--Low-Calorie-Vermicelli-Kheer-3604,45,6,For Low Fat Seviyan Kheer,serving,Nutrient values (Abbrv) per serving,19.5 g,0 mg,103 Calories,0.2 g,0.1 g,5.8 g,77 mg
Palak Pachadi,Palak Pachadi Recipe (South Indian Spinach Raita),https://www.tarladalal.com/palak-pachadi-south-indian-spinach-raita-1462r,https://www.tarladalal.com/calories-for-Palak-Pachadi-South-Indian-Spinach-Raita-1462,45,12,For Palak Pachadi | For The Tempering,serving,Nutrient values (Abbrv) per serving,6.1 g,12 mg,142 Calories,10.9 g,0.9 g,5.2 g,21 mg
