food_name,recipe_title,recipe_url,calories_url,source_page_number,ingredient_count,ingredient_sections,serving_label,nutrient_heading,carbohydrates_value,cholesterol_value,energy_value,fat_value,fiber_value,protein_value,sodium_value
Makki Ki Roti,Makki Ki Roti Recipe (Punjabi Makki Di Roti),https://www.tarladalal.com/makki-ki-roti-punjabi-makki-di-roti-recipe-30908r,https://www.tarladalal.com/calories-for-Makki-ki-Roti-Punjabi-Makki-Di-Roti-Recipe-30908,1,4,For Makki ki Roti,roti,Nutrient values (Abbrv) per roti,14.4 g,8 mg,90 Calories,3.2 g,1.4 g,1.3 g,26 mg
Chole Bhature,Chole Bhature Recipe (How To Make Chole Bhature),https://www.tarladalal.com/chole-bhature-2810r,https://www.tarladalal.com/calories-for-Chole-Bhature-2810,1,22,For Serving With Chole Bhature | For The Bhature | For The Chole,serving,Nutrient values (Abbrv) per serving,50.3 g,2 mg,427 Calories,20.1 g,12.0 g,10.8 g,16 mg
Kala Chana Amti,Kala Chana Amti Recipe (Sprouted Kala Chana Ambti),https://www.tarladalal.com/kala-chana-amti-maharashtrian-kala-chana-ambti-3576r,https://www.tarladalal.com/calories-for-Kala-Chana-Amti-Maharashtrian-Kala-Chana-Ambti-3576,1,21,For Kala Chana Amti | For The Garnish | For The Onion Paste,serving,Nutrient values (Abbrv) per serving,24.8 g,0 mg,154 Calories,3.1 g,10.2 g,6.5 g,34 mg
Homemade Curd,Homemade Curd Recipe (Dahi) Using Cow’s Milk,https://www.tarladalal.com/basic-homemade-curd-dahi-or-yogurt-using-cows-milk-42457r,https://www.tarladalal.com/calories-for-Basic-Homemade-Curd-Dahi-Or-Yogurt-Using-Cows-Milk-42457,1,2,For Basic Homemade Curd,plate,Nutrient values (Abbrv)per plate,10.3 g,1 mg,160 Calories,9.7 g,0.0 g,7.5 g,166 mg
Peanut Chikki Makar Sankranti,Peanut Chikki Makar Sankranti Recipe (Groundnut Chikki),https://www.tarladalal.com/peanut-chikki-41000r,https://www.tarladalal.com/calories-for-Peanut-Chikki-41000,1,2,For Peanut Chikki,piece,Nutrient values (Abbrv) per piece,9.7 g,0 mg,79 Calories,3.9 g,0.7 g,2.1 g,1 mg
Moong Dal Chilla,Moong Dal Chilla Recipe | protein rich |,https://www.tarladalal.com/moong-dal-chilla-stuffed-moong-dal-chila-764r,https://www.tarladalal.com/calories-for-Moong-Dal-Chilla-Stuffed-Moong-Dal-Chila-764,1,13,For Serving | For The Chillas | For The Stuffing,chilla,Nutrient values (Abbrv) per chilla,21.0 g,0 mg,128 Calories,1.6 g,3.2 g,7.5 g,10 mg
Medu Vada,Medu Vada Recipe (Vada ( South Indian )),https://www.tarladalal.com/medu-vada--south-indian-recipe-32683r,https://www.tarladalal.com/calories-for-Medu-Vada--South-Indian-Recipe-32683,1,10,For Medu Vada | For Serving With Medu Vada,medu vada,Nutrient values (Abbrv) per medu vada,8.9 g,0 mg,97 Calories,5.2 g,1.8 g,3.6 g,6 mg
Punjabi Aloo Paratha,Punjabi Aloo Paratha Recipe (Stuffed Aloo Paratha),https://www.tarladalal.com/aloo-paratha--punjabi-aloo-paratha-recipe-37300r,https://www.tarladalal.com/calories-for-Aloo-Paratha--Punjabi-Aloo-Paratha-Recipe-37300,1,15,For Serving With Aloo Paratha | For The Aloo Paratha Dough | For The Aloo Paratha Stuffing | Other Ingredients For The Aloo Paratha,serving,Nutrient values (Abbrv) per serving,22.6 g,0 mg,177 Calories,8.5 g,3.3 g,3.3 g,7 mg
Aloo Paratha,Aloo Paratha Recipe (How To Make Aloo Paratha),https://www.tarladalal.com/aloo-paratha-how-to-make-aloo-paratha-2172r,https://www.tarladalal.com/calories-for-Aloo-Paratha-How-To-Make-Aloo-Paratha-2172,1,15,For Serving With Aloo Paratha | For The Aloo Paratha Stuffing | For The Dough | Other Ingredients For Aloo Paratha,paratha,Nutrient values (Abbrv) per paratha,22.7 g,0 mg,222 Calories,13.5 g,3.2 g,3.4 g,7 mg
Soaked Soya Chunks,Soaked Soya Chunks Recipe (How To Soak Soya Chunks),https://www.tarladalal.com/soaked-soya-chunks-22390r,https://www.tarladalal.com/calories-for-Soaked-Soya-Chunks-22390,1,2,For Soaked Soya Chunks,cup,Nutrient values (Abbrv) per cup,7.5 g,0 mg,156 Calories,7.0 g,8.3 g,15.6 g,1 mg
Gulab Jamun With Saffron Syrup,Gulab Jamun With Saffron Syrup Recipe,https://www.tarladalal.com/gulab-jamun-2854r,https://www.tarladalal.com/calories-for-Gulab-Jamun-2854,1,8,For The Gulab Jamuns | For The Sugar Syrup | Other Ingredients,gulab jamun,Nutrient values (Abbrv) per gulab jamun,22.6 g,0 mg,125 Calories,2.8 g,0.0 g,2.3 g,0 mg
Chole,Chole Recipe (Punjabi Chole Masala),https://www.tarladalal.com/chole-punjabi-chole-masala-chole-recipe-2824r,https://www.tarladalal.com/calories-for-Chole-Punjabi-Chole-Masala-Chole-Recipe-2824,1,14,For Chole,serving,Nutrient values (Abbrv) per serving,26.8 g,0 mg,223 Calories,9.7 g,11.7 g,7.2 g,11 mg
Homemade Pav Bhaji,Homemade Pav Bhaji Recipe (How To Make Pav Bhaji At Home),https://www.tarladalal.com/pav-bhaji-2813r,https://www.tarladalal.com/calories-for-Pav-Bhaji-2813,1,19,For Serving With Pav Bhaji | For The Bhaji | For The Pav,plate,Nutrient values (Abbrv)per plate,57.9 g,42 mg,400 Calories,14.5 g,4.5 g,9.4 g,171 mg
Mixed Dal,Mixed Dal Recipe (Acidity Friendly Mixed Dal),https://www.tarladalal.com/mixed-dal-22370r,https://www.tarladalal.com/calories-for-Mixed-Dal-22370,1,12,for acidity friendly mixed dal,plate,Nutrient values (Abbrv)per plate,19.2 g,0 mg,132 Calories,2.9 g,3.4 g,7.2 g,14 mg
Puttu,Puttu Recipe (Kerala Homemade Rice Puttu For Breakfast),https://www.tarladalal.com/puttu-kerala-homemade-rice-puttu-for-breakfast-41331r,https://www.tarladalal.com/calories-for-Puttu-Kerala-Homemade-Rice-Puttu-for-Breakfast-41331,1,5,For Serving | Main Ingredients,serving,Nutrient values (Abbrv) per serving,49.8 g,0 mg,305 Calories,9.5 g,5.5 g,5.1 g,9 mg
Malabar Paratha,Malabar Paratha Recipe (Kerala Parotta),https://www.tarladalal.com/malabar-paratha-kerala-parotta-40869r,https://www.tarladalal.com/calories-for-Malabar-Paratha-Kerala-Parotta-40869,1,9,For Malabar Paratha,plate,Nutrient values (Abbrv)per plate,49.4 g,0 mg,482 Calories,28.4 g,0.2 g,7.2 g,6 mg
Broken Wheat Upma (Healthy Dalia Upma),Broken Wheat Upma (Healthy Dalia Upma) Recipe | Tarla Dalal,https://www.tarladalal.com/broken-wheat-upma-healthy-dalia-upma-4650r,https://www.tarladalal.com/calories-for-Broken-Wheat-Upma-Healthy-Dalia-Upma-4650,1,12,For Broken Wheat Upma | For The Garnish,plate,Nutrient values (Abbrv)per plate,18.8 g,0 mg,111 Calories,2.9 g,1.7 g,2.6 g,6 mg
Chana Chaat,Chana Chaat Recipe (Kala Chana Chaat),https://www.tarladalal.com/chana-chaat--kala-chana-chaat-recipe-33111r,https://www.tarladalal.com/calories-for-Chana-Chaat--Kala-Chana-Chaat-Recipe-33111,1,13,For Chana Chaat,serving,Nutrient values (Abbrv) per serving,18.1 g,15 mg,147 Calories,5.6 g,3.2 g,6.1 g,106 mg
Mumbai Roadside Bhel Puri,Mumbai Roadside Bhel Puri Recipe | Tarla Dalal,https://www.tarladalal.com/bhel-puri-mumbai-roadside-bhel-puri-2795r,https://www.tarladalal.com/calories-for-Bhel-Puri-Mumbai-Roadside-Bhel-Puri-2795,1,17,For Bhel Puri | For The Garnish,serving,Nutrient values (Abbrv) per serving,39.2 g,0 mg,289 Calories,11.2 g,4.7 g,7.8 g,25 mg
