food_name,serving_type,serving_qty,serving_weight_grams,serving_weight_grams_numeric,serving_phrase,table_value_header,table_daily_value_header,nutrient_count,calcium_daily_value_pct,calcium_value,carbohydrates_daily_value_pct,carbohydrates_value,cholesterol_daily_value_pct,cholesterol_value,energy_daily_value_pct,energy_value,fat_daily_value_pct,fat_value,fiber_daily_value_pct,fiber_value,folic_acid_vitamin_b9_daily_value_pct,folic_acid_vitamin_b9_value,iron_daily_value_pct,iron_value,magnesium_daily_value_pct,magnesium_value,phosphorus_daily_value_pct,phosphorus_value,potassium_daily_value_pct,potassium_value,protein_daily_value_pct,protein_value,sodium_daily_value_pct,sodium_value,vitamin_a_daily_value_pct,vitamin_a_value,vitamin_b1_thiamine_daily_value_pct,vitamin_b1_thiamine_value,vitamin_b2_riboflavin_daily_value_pct,vitamin_b2_riboflavin_value,vitamin_b3_niacin_daily_value_pct,vitamin_b3_niacin_value,vitamin_c_daily_value_pct,vitamin_c_value,vitamin_e_daily_value_pct,vitamin_e_value,zinc_daily_value_pct,zinc_value
Corn Croquette,croquette,65 grams,65 grams,65,Corn Croquette,Value per croquette,% Daily Values,20,4%,42.6 mg,6%,17.1 g,3%,8.4 mg,8%,156 kcal,14%,8.53 g,2%,0.61 g,2%,5.7 mcg,3%,0.6 mg,5%,20.0 mg,5%,50.3 mg,2%,76.5 mg,5%,3.1 g,1%,24.1 mg,16%,159.6 mcg,4%,0.1 mg,2%,0.0 mg,5%,0.7 mg,2%,1.5 mg,1%,0.1 mg,2%,0.3 mg
"tablespoon of Schezuan Sauce, Chinese Schezwan Sauce Recipe",tbsp,1 tbsp,,,"tablespoon of Schezuan Sauce, Chinese Schezwan Sauce Recipe",Value per tbsp,% Daily Values,20,0%,0.0 mg,7%,19.9 g,0%,0.0 mg,31%,620 kcal,100%,60.00 g,0%,0.00 g,0%,0.0 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 g,0%,0.0 mg,54%,540.0 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,-11%,-0.8 mg,0%,0.0 mg
Healthy Kids Vegetable Pasta Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,16%,161.7 mg,7%,18.0 g,4%,10.8 mg,9%,179 kcal,13%,7.82 g,3%,1.04 g,5%,15.1 mcg,3%,0.6 mg,0%,0.0 mg,0%,0.0 mg,3%,119.8 mg,11%,6.3 g,5%,91.9 mg,44%,441.1 mcg,9%,0.1 mg,4%,0.1 mg,3%,0.4 mg,33%,26.5 mg,-15%,-1.1 mg,1%,0.1 mg
"Panchkuti Dal, Panchratan Dal",serving,1 serving,120 grams,120,"serving of Panchkuti Dal, Panchratan Dal",Value serving,% Daily Values,20,5%,52.2 mg,9%,23.7 g,0%,0.0 mg,10%,206 kcal,14%,8.46 g,15%,4.57 g,16%,48.3 mcg,10%,1.8 mg,10%,44.8 mg,13%,129.8 mg,11%,385.8 mg,15%,8.7 g,1%,16.2 mg,23%,231.2 mcg,14%,0.2 mg,5%,0.1 mg,7%,1.0 mg,15%,12.4 mg,1%,0.0 mg,5%,0.8 mg
Pav Bhaji Khakhra Recipe (Zero Oil),khakhra,1 khakhra,,,,Value khakhra,% Daily Values,20,1%,5.2 mg,3%,7.9 g,0%,0.0 mg,2%,37 kcal,0%,0.21 g,4%,1.32 g,1%,3.9 mcg,3%,0.5 mg,3%,14.3 mg,4%,38.5 mg,1%,34.1 mg,2%,1.3 g,0%,2.2 mg,0%,0.3 mcg,4%,0.1 mg,1%,0.0 mg,3%,0.5 mg,0%,0.0 mg,1%,0.1 mg,1%,0.2 mg
serving (250 grams) of Quinoa Khichdi,serving,1 serving,250 grams,250,serving (250 grams) of Quinoa Khichdi,Value serving,% Daily Values,20,5%,46.7 mg,9%,25.0 g,0%,0.0 mg,7%,150 kcal,5%,2.96 g,20%,6.03 g,20%,61.0 mcg,12%,2.3 mg,14%,63.6 mg,12%,124.7 mg,10%,342.0 mg,12%,7.3 g,1%,12.4 mg,22%,224.6 mcg,12%,0.2 mg,6%,0.1 mg,6%,0.8 mg,14%,11.3 mg,6%,0.5 mg,7%,1.1 mg
"serving (109 grams) of Dudhi Soup, Lauki Soup",serving,1 serving,109 grams,109,"serving (109 grams) of Dudhi Soup, Lauki Soup",Value serving,% Daily Values,20,2%,17.7 mg,1%,2.7 g,0%,0.0 mg,1%,14 kcal,0%,0.11 g,5%,1.54 g,2%,4.9 mcg,2%,0.4 mg,4%,16.2 mg,2%,24.7 mg,2%,66.5 mg,1%,0.5 g,3%,68.1 mg,6%,55.5 mcg,1%,0.0 mg,1%,0.0 mg,1%,0.2 mg,11%,9.1 mg,0%,0.0 mg,1%,0.1 mg
Cheeselings Bhel Recipe (Chatpata Cheeseling Bhel),serving,1 serving,,,,Value serving,% Daily Values,20,2%,23.4 mg,10%,27.6 g,0%,0.0 mg,10%,204 kcal,15%,8.89 g,3%,0.81 g,3%,9.6 mcg,3%,0.6 mg,2%,10.0 mg,2%,18.9 mg,3%,88.8 mg,6%,3.4 g,0%,3.9 mg,18%,184.7 mcg,3%,0.0 mg,1%,0.0 mg,3%,0.4 mg,15%,12.4 mg,2%,0.2 mg,1%,0.2 mg
Kung Pao Vegetables Recipe (Indian Style Vegetable Kung Pao),serving,1 serving,,,,Value serving,% Daily Values,20,3%,33.4 mg,4%,12.0 g,0%,0.0 mg,6%,114 kcal,11%,6.78 g,5%,1.58 g,8%,24.9 mcg,5%,0.9 mg,3%,14.6 mg,7%,75.0 mg,3%,100.5 mg,3%,1.7 g,0%,4.8 mg,39%,393.0 mcg,15%,0.2 mg,4%,0.1 mg,7%,0.9 mg,36%,29.0 mg,2%,0.1 mg,2%,0.3 mg
glass ( about 200 ml ) of Watermelon and Coconut Water Drink,glass,1 glass,,,glass ( about 200 ml ) of Watermelon and Coconut Water Drink,Value per glass,% Daily Values,20,3%,25.7 mg,4%,9.9 g,0%,0.0 mg,3%,55 kcal,2%,1.28 g,23%,7.03 g,0%,0.0 mcg,75%,14.2 mg,5%,22.4 mg,4%,40.6 mg,8%,275.3 mg,2%,0.9 g,15%,305.3 mg,0%,0.0 mcg,9%,0.1 mg,23%,0.5 mg,30%,4.2 mg,2%,1.7 mg,-9%,-0.7 mg,0%,0.0 mg
