food_name,serving_type,serving_qty,serving_weight_grams,serving_weight_grams_numeric,serving_phrase,table_value_header,table_daily_value_header,nutrient_count,calcium_daily_value_pct,calcium_value,carbohydrates_daily_value_pct,carbohydrates_value,cholesterol_daily_value_pct,cholesterol_value,energy_daily_value_pct,energy_value,fat_daily_value_pct,fat_value,fiber_daily_value_pct,fiber_value,folic_acid_vitamin_b9_daily_value_pct,folic_acid_vitamin_b9_value,iron_daily_value_pct,iron_value,magnesium_daily_value_pct,magnesium_value,phosphorus_daily_value_pct,phosphorus_value,potassium_daily_value_pct,potassium_value,protein_daily_value_pct,protein_value,sodium_daily_value_pct,sodium_value,vitamin_a_daily_value_pct,vitamin_a_value,vitamin_b1_thiamine_daily_value_pct,vitamin_b1_thiamine_value,vitamin_b2_riboflavin_daily_value_pct,vitamin_b2_riboflavin_value,vitamin_b3_niacin_daily_value_pct,vitamin_b3_niacin_value,vitamin_c_daily_value_pct,vitamin_c_value,vitamin_e_daily_value_pct,vitamin_e_value,zinc_daily_value_pct,zinc_value
Chapati,chapatti,35 grams,35 grams,35,Chapati,Value per chapatti,% Daily Values,20,1%,10.4 mg,6%,15.7 g,0%,0.0 mg,5%,104 kcal,6%,3.75 g,8%,2.49 g,3%,7.8 mcg,6%,1.1 mg,7%,28.6 mg,8%,76.9 mg,2%,68.3 mg,4%,2.6 g,0%,4.3 mg,3%,30.6 mcg,8%,0.1 mg,2%,0.0 mg,7%,0.9 mg,0%,0.0 mg,2%,0.2 mg,3%,0.5 mg
Dosa,dosa,1 dosa,,,Dosa,Value per dosa,% Daily Values,20,1%,10.9 mg,7%,18.8 g,0%,0.0 mg,7%,133 kcal,9%,5.17 g,4%,1.07 g,3%,9.5 mcg,3%,0.5 mg,5%,22.4 mg,5%,52.6 mg,2%,73.2 mg,4%,2.7 g,0%,3.3 mg,5%,47.2 mcg,4%,0.1 mg,1%,0.0 mg,5%,0.7 mg,0%,0.0 mg,0%,0.0 mg,2%,0.4 mg
Sprouted and Boiled Moong,cup,1 cup,,,cup of Sprouted and Boiled Moong,Value per cup,% Daily Values,20,10%,95.1 mg,16%,43.5 g,0%,0.0 mg,13%,256 kcal,2%,1.00 g,43%,12.80 g,160%,479.2 mcg,18%,3.4 mg,22%,97.4 mg,25%,249.9 mg,18%,646.3 mg,31%,18.4 g,1%,21.5 mg,7%,72.1 mcg,26%,0.4 mg,10%,0.2 mg,12%,1.6 mg,5%,3.7 mg,5%,0.4 mg,14%,2.3 mg
Paratha,paratha,1 paratha,,,paratha,Value per paratha,% Daily Values,20,1%,10.4 mg,6%,15.7 g,0%,0.0 mg,6%,126 kcal,10%,6.25 g,9%,2.64 g,3%,7.8 mcg,6%,1.1 mg,7%,28.6 mg,8%,76.9 mg,2%,68.3 mg,4%,2.6 g,0%,4.3 mg,5%,53.1 mcg,8%,0.1 mg,2%,0.0 mg,7%,0.9 mg,0%,0.0 mg,2%,0.2 mg,3%,0.5 mg
"Besan Chilla, Besan Cheela",chilla,1 chilla,,,"Besan Chilla, Besan Cheela",Value per chilla,% Daily Values,20,3%,31.5 mg,11%,30.7 g,0%,0.0 mg,12%,236 kcal,13%,7.88 g,26%,7.91 g,26%,76.5 mcg,14%,2.7 mg,15%,67.0 mg,17%,170.7 mg,11%,372.8 mg,18%,10.7 g,2%,38.4 mg,21%,214.9 mcg,18%,0.2 mg,5%,0.1 mg,9%,1.2 mg,3%,2.6 mg,1%,0.0 mg,5%,0.9 mg
Samosa,samosa,1 samosa,,,Samosa,Value per samosa,% Daily Values,20,1%,13.1 mg,3%,7.9 g,0%,0.0 mg,5%,91 kcal,10%,6.01 g,5%,1.60 g,3%,7.5 mcg,3%,0.5 mg,4%,15.5 mg,3%,34.3 mg,2%,71.7 mg,2%,1.4 g,0%,5.5 mg,11%,114.7 mcg,3%,0.0 mg,1%,0.0 mg,3%,0.4 mg,30%,23.8 mg,1%,0.1 mg,1%,0.2 mg
Pani Puri,serving,1 serving,,,serving of Pani Puri,Value serving,% Daily Values,20,6%,55.3 mg,11%,29.6 g,0%,0.0 mg,9%,188 kcal,9%,5.21 g,12%,3.58 g,14%,41.5 mcg,17%,3.3 mg,6%,24.8 mg,4%,43.7 mg,4%,127.9 mg,9%,5.4 g,1%,11.7 mg,33%,327.0 mcg,7%,0.1 mg,3%,0.1 mg,5%,0.7 mg,6%,4.8 mg,0%,0.0 mg,3%,0.5 mg
Bajra Roti,roti,"39 grams, 6 inches",39 grams,39,Bajra Roti,Value roti,% Daily Values,20,1%,12.0 mg,7%,19.1 g,0%,0.0 mg,6%,123 kcal,6%,3.78 g,11%,3.20 g,4%,12.4 mcg,11%,2.1 mg,9%,38.2 mg,9%,85.2 mg,2%,86.3 mg,5%,3.3 g,0%,3.4 mg,5%,54.3 mcg,7%,0.1 mg,3%,0.1 mg,5%,0.7 mg,0%,0.0 mg,2%,0.1 mg,5%,0.8 mg
Puris,puri,1 puri,,,Puris,Value per puri,% Daily Values,20,1%,5.2 mg,3%,7.5 g,0%,0.0 mg,5%,101 kcal,12%,7.35 g,1%,0.21 g,1%,3.9 mcg,3%,0.5 mg,0%,0.0 mg,0%,0.0 mg,1%,34.1 mg,2%,1.3 g,0%,2.2 mg,7%,67.6 mcg,4%,0.1 mg,1%,0.0 mg,3%,0.5 mg,0%,0.0 mg,-2%,-0.2 mg,1%,0.2 mg
Kanda Poha,plate,1 plate,,,plate of Kanda Poha,Value plate,% Daily Values,20,1%,13.7 mg,9%,25.0 g,0%,0.0 mg,9%,180 kcal,13%,7.88 g,1%,0.31 g,0%,1.0 mcg,32%,6.1 mg,7%,32.9 mg,8%,79.7 mg,2%,67.2 mg,4%,2.2 g,0%,3.9 mg,7%,67.6 mcg,5%,0.1 mg,1%,0.0 mg,9%,1.3 mg,2%,1.9 mg,0%,0.0 mg,0%,0.1 mg
Vada Pav,serving,1 serving,,,Vada Pav,Value serving,% Daily Values,20,2%,15.6 mg,12%,33.9 g,0%,0.0 mg,10%,197 kcal,7%,3.97 g,9%,2.66 g,9%,25.6 mcg,7%,1.4 mg,6%,25.2 mg,6%,58.2 mg,4%,153.3 mg,11%,6.6 g,1%,13.2 mg,5%,48.1 mcg,8%,0.1 mg,2%,0.0 mg,6%,0.9 mg,4%,3.1 mg,0%,0.0 mg,2%,0.4 mg
Dal Khichdi,serving,1 serving,,,serving of Dal Khichdi,Value serving,% Daily Values,20,5%,51.6 mg,21%,58.1 g,0%,0.0 mg,16%,320 kcal,7%,4.21 g,20%,5.96 g,18%,54.8 mcg,9%,1.6 mg,18%,78.5 mg,20%,204.4 mg,16%,545.8 mg,21%,12.4 g,1%,17.9 mg,15%,151.9 mcg,18%,0.3 mg,6%,0.1 mg,15%,2.1 mg,9%,7.5 mg,0%,0.0 mg,6%,1.0 mg
Sabudana Khichdi,serving,1 serving,,,serving of Sabudana Khichdi,Value serving,% Daily Values,20,5%,47.3 mg,31%,86.0 g,0%,0.0 mg,33%,655 kcal,53%,32.02 g,13%,3.78 g,30%,90.1 mcg,9%,1.8 mg,16%,70.2 mg,15%,152.4 mg,10%,359.6 mg,16%,9.7 g,1%,11.9 mg,36%,363.4 mcg,17%,0.2 mg,2%,0.0 mg,33%,4.6 mg,17%,13.9 mg,39%,2.9 mg,8%,1.3 mg
Upma,serving,1 serving,,,serving of Upma,Value serving,% Daily Values,20,1%,14.5 mg,11%,30.7 g,0%,0.0 mg,10%,192 kcal,10%,5.85 g,1%,0.32 g,9%,27.4 mcg,3%,0.7 mg,5%,20.0 mg,4%,44.2 mg,2%,61.0 mg,7%,4.0 g,0%,8.2 mg,5%,49.9 mcg,4%,0.1 mg,1%,0.0 mg,4%,0.6 mg,4%,2.9 mg,0%,0.0 mg,3%,0.5 mg
Momos,momo,1 momo,,,serving of Momos,Value momo,% Daily Values,20,2%,18.7 mg,3%,9.6 g,0%,0.0 mg,3%,66 kcal,4%,2.44 g,3%,0.88 g,3%,9.3 mcg,3%,0.6 mg,3%,12.1 mg,4%,44.4 mg,2%,72.4 mg,3%,1.6 g,3%,67.8 mg,18%,180.8 mcg,6%,0.1 mg,2%,0.0 mg,3%,0.4 mg,23%,18.3 mg,0%,0.0 mg,1%,0.1 mg
Fried Egg,fried egg,1 fried egg,,,Fried Egg,Value per fried egg,% Daily Values,20,3%,30.0 mg,0%,0.0 g,0%,0.0 mg,5%,109 kcal,15%,9.15 g,0%,0.00 g,13%,39.2 mcg,6%,1.1 mg,0%,0.0 mg,11%,110.0 mg,0%,0.0 mg,11%,6.7 g,0%,0.0 mg,32%,322.5 mcg,4%,0.1 mg,10%,0.2 mg,0%,0.1 mg,0%,0.0 mg,7%,0.5 mg,0%,0.0 mg
Makki ki Roti,roti,1 roti,,,Makki ki Roti,Value per roti,% Daily Values,20,0%,1.3 mg,5%,14.4 g,3%,7.5 mg,4%,90 kcal,5%,3.16 g,5%,1.37 g,2%,4.7 mcg,2%,0.5 mg,4%,17.5 mg,5%,51.7 mg,2%,60.0 mg,2%,1.3 g,1%,25.7 mg,11%,108.1 mcg,3%,0.0 mg,1%,0.0 mg,3%,0.4 mg,0%,0.0 mg,1%,0.1 mg,2%,0.3 mg
Chole Bhature,serving,1 serving,,,serving of Chole Bhature,Value serving,% Daily Values,20,12%,118.0 mg,18%,50.3 g,1%,1.5 mg,21%,427 kcal,33%,20.07 g,40%,11.99 g,27%,79.8 mcg,15%,2.8 mg,21%,92.2 mg,19%,186.6 mg,13%,453.6 mg,18%,10.8 g,1%,16.2 mg,26%,255.5 mcg,13%,0.2 mg,5%,0.1 mg,15%,2.1 mg,7%,5.3 mg,4%,0.3 mg,9%,1.5 mg
serving ( 175 grams) of Sprouted Kala Chana Ambti,serving,1 serving,175 grams,175,serving ( 175 grams) of Sprouted Kala Chana Ambti,Value serving,% Daily Values,20,8%,83.0 mg,9%,24.8 g,0%,0.0 mg,8%,154 kcal,5%,3.14 g,34%,10.24 g,23%,69.6 mcg,9%,1.8 mg,16%,71.1 mg,13%,125.7 mg,10%,352.7 mg,11%,6.5 g,2%,33.9 mg,8%,77.5 mcg,10%,0.1 mg,3%,0.1 mg,8%,1.1 mg,17%,13.7 mg,4%,0.3 mg,7%,1.1 mg
cup Basic Homemade Curd using cows milk,cup,1 cup,,,cup Basic Homemade Curd using cows milk,Value cup,% Daily Values,20,29%,285.8 mg,4%,10.3 g,0%,1.2 mg,8%,160 kcal,16%,9.71 g,0%,0.00 g,7%,19.5 mcg,2%,0.5 mg,0%,1.4 mg,21%,212.3 mg,9%,321.8 mg,13%,7.5 g,8%,165.7 mg,13%,131.3 mcg,8%,0.1 mg,22%,0.4 mg,2%,0.2 mg,6%,4.6 mg,0%,0.0 mg,4%,0.7 mg
piece (15 grams weight) Peanut Chikki,piece,1 piece,,,piece (15 grams weight) Peanut Chikki,Value per piece,% Daily Values,20,1%,14.4 mg,4%,9.7 g,0%,0.0 mg,4%,79 kcal,7%,3.94 g,2%,0.68 g,6%,19.2 mcg,3%,0.6 mg,3%,13.4 mg,3%,33.6 mg,2%,56.4 mg,3%,2.1 g,0%,1.4 mg,0%,3.0 mcg,3%,0.0 mg,0%,0.0 mg,7%,1.0 mg,0%,0.0 mg,9%,0.7 mg,2%,0.3 mg
Moong Dal Chilla,chilla,1 chilla,,,Moong Dal Chilla,Value per chilla,% Daily Values,20,2%,23.5 mg,8%,21.0 g,0%,0.0 mg,6%,128 kcal,3%,1.60 g,11%,3.23 g,14%,41.2 mcg,7%,1.3 mg,9%,40.5 mg,13%,127.6 mg,10%,355.3 mg,12%,7.5 g,0%,9.7 mg,4%,35.4 mcg,10%,0.1 mg,3%,0.1 mg,6%,0.8 mg,4%,3.4 mg,0%,0.0 mg,5%,0.8 mg
Medu Vada,medu vada,1 medu vada,,,Medu Vada,Value per medu vada,% Daily Values,20,2%,23.1 mg,3%,8.9 g,0%,0.0 mg,5%,97 kcal,9%,5.21 g,6%,1.76 g,7%,19.8 mcg,3%,0.6 mg,4%,19.5 mg,6%,57.8 mg,3%,120.0 mg,6%,3.6 g,0%,6.0 mg,5%,50.7 mcg,4%,0.1 mg,2%,0.0 mg,2%,0.3 mg,0%,0.0 mg,0%,0.0 mg,3%,0.5 mg
Aloo Paratha,paratha,1 paratha,,,Aloo Paratha,Value per paratha,% Daily Values,20,2%,17.1 mg,8%,22.6 g,0%,0.0 mg,9%,177 kcal,14%,8.49 g,11%,3.35 g,4%,12.6 mcg,7%,1.3 mg,9%,38.9 mg,10%,97.2 mg,4%,132.3 mg,6%,3.3 g,0%,7.5 mg,11%,111.9 mcg,10%,0.1 mg,2%,0.0 mg,9%,1.3 mg,6%,4.5 mg,3%,0.2 mg,4%,0.7 mg
whole wheat Aloo paratha,paratha,100 grams,100 grams,100,whole wheat Aloo paratha,Value per paratha,% Daily Values,20,2%,17.3 mg,8%,22.7 g,0%,0.0 mg,11%,222 kcal,22%,13.49 g,11%,3.22 g,4%,12.8 mcg,7%,1.4 mg,9%,40.5 mg,10%,97.6 mg,4%,132.3 mg,6%,3.4 g,0%,7.5 mg,16%,157.9 mcg,10%,0.1 mg,2%,0.0 mg,9%,1.3 mg,6%,5.2 mg,7%,0.5 mg,4%,0.7 mg
Soaked Soya Chunks,cup,1 cup,,,cup of soaked soya chunks,Value cup,% Daily Values,20,9%,86.4 mg,3%,7.5 g,0%,0.0 mg,8%,156 kcal,12%,7.02 g,28%,8.28 g,12%,36.0 mcg,20%,3.7 mg,14%,63.0 mg,25%,248.4 mg,18%,646.9 mg,26%,15.6 g,0%,0.7 mg,15%,153.4 mcg,19%,0.3 mg,7%,0.1 mg,8%,1.2 mg,3%,2.2 mg,4%,0.3 mg,7%,1.2 mg
Gulab Jamun With Saffron Syrup Recipe,gulab jamun,1 gulab jamun,,,,Value gulab jamun,% Daily Values,20,10%,101.8 mg,8%,22.6 g,0%,0.0 mg,6%,125 kcal,5%,2.76 g,0%,0.03 g,0%,0.0 mcg,0%,0.0 mg,0%,0.5 mg,5%,48.9 mg,0%,1.3 mg,4%,2.3 g,0%,0.1 mg,3%,28.5 mcg,2%,0.0 mg,3%,0.1 mg,0%,0.1 mg,1%,0.6 mg,-1%,-0.1 mg,0%,0.0 mg
Chole,serving,1 serving,,,serving of Chole,Value serving,% Daily Values,20,9%,90.6 mg,10%,26.8 g,0%,0.0 mg,11%,223 kcal,16%,9.69 g,39%,11.70 g,26%,77.3 mcg,10%,2.0 mg,16%,71.9 mg,14%,136.2 mg,11%,379.7 mg,12%,7.2 g,1%,10.5 mg,15%,145.1 mcg,10%,0.1 mg,3%,0.1 mg,9%,1.3 mg,4%,3.1 mg,4%,0.3 mg,7%,1.3 mg
Pav Bhaji,serving,1 serving,,,serving of Pav Bhaji,Value serving,% Daily Values,20,7%,70.2 mg,21%,57.9 g,14%,42.0 mg,20%,400 kcal,24%,14.53 g,15%,4.54 g,13%,38.6 mcg,12%,2.2 mg,7%,31.3 mg,16%,156.8 mg,7%,255.9 mg,16%,9.4 g,9%,170.5 mg,110%,1100.7 mcg,16%,0.2 mg,3%,0.1 mg,11%,1.5 mg,68%,54.4 mg,7%,0.5 mg,3%,0.4 mg
Mixed Dal,serving,1 serving,205 grams,205,serving of Mixed Dal,Value serving,% Daily Values,20,6%,56.2 mg,7%,19.2 g,0%,0.0 mg,7%,132 kcal,5%,2.91 g,11%,3.41 g,15%,44.4 mcg,9%,1.7 mg,8%,35.9 mg,6%,61.0 mg,9%,332.1 mg,12%,7.2 g,1%,14.1 mg,39%,393.7 mcg,13%,0.2 mg,4%,0.1 mg,6%,0.9 mg,21%,16.5 mg,1%,0.1 mg,5%,0.9 mg
"Puttu,",serving,1 serving,,,"serving of Puttu,",Value serving,% Daily Values,20,1%,8.2 mg,18%,49.8 g,0%,0.0 mg,15%,305 kcal,16%,9.45 g,18%,5.45 g,3%,7.6 mcg,4%,0.8 mg,14%,61.0 mg,15%,148.8 mg,4%,124.5 mg,8%,5.1 g,0%,8.6 mg,0%,0.0 mcg,3%,0.0 mg,3%,0.1 mg,9%,1.3 mg,1%,0.7 mg,1%,0.0 mg,6%,1.0 mg
Kerala Parota,paratha,1 paratha,,,Kerala Parota,Value paratha,% Daily Values,20,1%,15.0 mg,18%,49.4 g,0%,0.0 mg,24%,482 kcal,47%,28.42 g,1%,0.20 g,0%,0.0 mcg,9%,1.8 mg,8%,35.1 mg,8%,78.7 mg,2%,84.5 mg,12%,7.2 g,0%,6.0 mg,27%,266.8 mcg,6%,0.1 mg,2%,0.0 mg,11%,1.6 mg,0%,0.1 mg,4%,0.3 mg,2%,0.4 mg
Broken Wheat Upma,serving,1 serving,,,serving of Broken Wheat Upma,Value serving,% Daily Values,20,3%,25.1 mg,7%,18.8 g,0%,0.0 mg,6%,111 kcal,5%,2.86 g,6%,1.73 g,1%,4.2 mcg,7%,1.3 mg,9%,37.9 mg,13%,128.8 mg,3%,90.2 mg,4%,2.6 g,0%,5.8 mg,21%,211.8 mcg,13%,0.2 mg,2%,0.0 mg,8%,1.1 mg,5%,4.3 mg,1%,0.1 mg,1%,0.1 mg
Kala Chana Chaat,serving,1 serving,,,serving of Kala Chana Chaat,Value serving,% Daily Values,20,6%,59.3 mg,7%,18.1 g,5%,15.0 mg,7%,147 kcal,9%,5.59 g,11%,3.19 g,5%,15.1 mcg,5%,1.0 mg,3%,14.1 mg,2%,22.6 mg,11%,394.0 mg,10%,6.1 g,5%,106.3 mg,61%,610.0 mcg,17%,0.2 mg,10%,0.2 mg,15%,2.1 mg,40%,32.1 mg,3%,0.2 mg,1%,0.2 mg
Bhel Puri,serving,1 serving,,,serving of Bhel Puri,Value serving,% Daily Values,20,4%,36.3 mg,14%,39.2 g,0%,0.0 mg,14%,289 kcal,19%,11.16 g,16%,4.71 g,22%,65.9 mcg,15%,2.8 mg,11%,48.8 mg,13%,126.3 mg,9%,308.9 mg,13%,7.8 g,1%,24.7 mg,24%,244.0 mcg,14%,0.2 mg,3%,0.1 mg,13%,1.8 mg,13%,10.4 mg,1%,0.1 mg,5%,0.8 mg
Rasgulla,serving,1 serving,,,Rasgulla,Value serving,% Daily Values,20,11%,105.1 mg,5%,14.8 g,2%,5.0 mg,5%,106 kcal,6%,3.34 g,0%,0.05 g,2%,4.6 mcg,1%,0.1 mg,1%,6.5 mg,7%,69.0 mg,2%,79.5 mg,4%,2.4 g,1%,28.8 mg,7%,66.6 mcg,2%,0.0 mg,5%,0.1 mg,0%,0.1 mg,3%,2.0 mg,0%,0.0 mg,1%,0.2 mg
Onion Tomato Uttapam,uttapam,1 uttapam,,,Onion Tomato Uttapam,Value uttapam,% Daily Values,20,9%,87.2 mg,10%,27.4 g,0%,0.0 mg,9%,176 kcal,9%,5.41 g,11%,3.38 g,13%,39.6 mcg,8%,1.5 mg,4%,18.5 mg,5%,47.5 mg,7%,250.3 mg,52%,31.3 g,1%,18.9 mg,88%,875.7 mcg,13%,0.2 mg,5%,0.1 mg,8%,1.1 mg,45%,35.8 mg,3%,0.2 mg,4%,0.7 mg
Khaman Dhokla,piece,1 piece,,,piece of Khaman Dhokla,Value per piece,% Daily Values,20,4%,41.9 mg,17%,45.5 g,0%,0.0 mg,15%,303 kcal,12%,7.47 g,32%,9.58 g,32%,95.0 mcg,18%,3.4 mg,19%,85.7 mg,21%,211.7 mg,13%,455.6 mg,22%,13.4 g,2%,46.1 mg,11%,114.3 mcg,22%,0.3 mg,6%,0.1 mg,11%,1.6 mg,3%,2.2 mg,0%,0.0 mg,7%,1.2 mg
Sambar,serving,1 serving,,,serving of Sambar,Value serving,% Daily Values,20,4%,37.3 mg,7%,18.4 g,0%,0.0 mg,7%,143 kcal,9%,5.44 g,9%,2.82 g,10%,28.6 mcg,5%,0.9 mg,7%,29.2 mg,8%,82.1 mg,9%,328.5 mg,9%,5.3 g,1%,10.7 mg,19%,193.8 mcg,10%,0.1 mg,3%,0.1 mg,6%,0.8 mg,17%,13.9 mg,0%,0.0 mg,2%,0.3 mg
Sambar,serving,1 serving,,,serving of Sambar,Value serving,% Daily Values,20,4%,37.3 mg,7%,18.4 g,0%,0.0 mg,7%,143 kcal,9%,5.44 g,9%,2.82 g,10%,28.6 mcg,5%,0.9 mg,7%,29.2 mg,8%,82.1 mg,9%,328.5 mg,9%,5.3 g,1%,10.7 mg,19%,193.8 mcg,10%,0.1 mg,3%,0.1 mg,6%,0.8 mg,17%,13.9 mg,0%,0.0 mg,2%,0.3 mg
Besan Laddoo,ladoo,1 ladoo,,,Besan Laddoo,Value per ladoo,% Daily Values,20,3%,25.3 mg,14%,38.1 g,0%,0.0 mg,15%,307 kcal,23%,13.62 g,19%,5.61 g,18%,54.6 mcg,11%,2.0 mg,13%,55.3 mg,13%,131.0 mg,8%,280.6 mg,13%,8.0 g,1%,26.7 mg,14%,140.0 mcg,13%,0.2 mg,4%,0.1 mg,7%,1.0 mg,0%,0.4 mg,7%,0.5 mg,4%,0.7 mg
Banana Milkshake Recipe,glass,1 glass,,,,Value glass,% Daily Values,20,23%,231.5 mg,18%,50.1 g,5%,16.0 mg,15%,307 kcal,11%,6.88 g,8%,2.28 g,2%,5.6 mcg,3%,0.7 mg,16%,70.9 mg,18%,175.6 mg,6%,201.5 mg,10%,5.8 g,3%,65.4 mg,26%,258.8 mcg,7%,0.1 mg,10%,0.2 mg,5%,0.7 mg,12%,9.9 mg,0%,0.0 mg,0%,0.0 mg
Sada Dosa,dosa,1 dosa,,,Sada Dosa,Value dosa,% Daily Values,20,1%,10.8 mg,6%,17.8 g,0%,0.0 mg,5%,106 kcal,4%,2.69 g,2%,0.73 g,3%,9.2 mcg,2%,0.4 mg,5%,21.4 mg,5%,50.2 mg,2%,69.2 mg,4%,2.6 g,0%,3.1 mg,3%,25.1 mcg,3%,0.0 mg,1%,0.0 mg,5%,0.6 mg,0%,0.0 mg,1%,0.1 mg,2%,0.4 mg
Vegetable Biryani,serving,1 serving,,,serving of Vegetable Biryani,Value serving,% Daily Values,20,16%,155.3 mg,22%,60.8 g,1%,4.0 mg,22%,448 kcal,30%,18.21 g,19%,5.73 g,9%,27.8 mcg,8%,1.4 mg,19%,83.4 mg,27%,268.8 mg,7%,238.2 mg,15%,8.9 g,1%,26.3 mg,68%,679.0 mcg,9%,0.1 mg,7%,0.1 mg,12%,1.7 mg,32%,25.9 mg,3%,0.2 mg,6%,1.1 mg
Moong Dal Kachori,kachori,1 kachori,,,Moong Dal Kachori,Value per kachori,% Daily Values,20,1%,10.3 mg,7%,18.8 g,0%,0.0 mg,10%,195 kcal,19%,11.46 g,3%,0.95 g,4%,12.4 mcg,5%,0.9 mg,5%,20.8 mg,6%,55.8 mg,3%,113.7 mg,7%,4.1 g,0%,5.2 mg,11%,110.6 mcg,5%,0.1 mg,2%,0.0 mg,5%,0.7 mg,0%,0.1 mg,0%,0.0 mg,2%,0.3 mg
Pesarattu,pesarattu,1 pesarattu,,,Pesarattu,Value per pesarattu,% Daily Values,20,8%,79.5 mg,14%,38.3 g,0%,0.0 mg,14%,272 kcal,11%,6.79 g,33%,9.91 g,120%,360.8 mcg,14%,2.7 mg,18%,80.2 mg,20%,203.7 mg,15%,509.5 mg,24%,14.3 g,1%,17.1 mg,11%,108.1 mcg,20%,0.3 mg,8%,0.2 mg,10%,1.4 mg,6%,4.6 mg,4%,0.3 mg,11%,1.9 mg
Jalebi Recipe (Authentic Jalebi),jalebi,1 jalebi,,,,Value per jalebi,% Daily Values,20,0%,1.0 mg,4%,10.4 g,0%,0.0 mg,3%,66 kcal,4%,2.54 g,0%,0.04 g,0%,0.2 mcg,1%,0.1 mg,1%,2.3 mg,1%,5.2 mg,0%,6.2 mg,1%,0.5 g,0%,0.5 mg,2%,23.7 mcg,0%,0.0 mg,0%,0.0 mg,1%,0.1 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg
"Vegetable Maggi Noodle, Tiffin Box Noodles",serving,1 serving,,,"serving of Vegetable Maggi Noodle, Tiffin Box Noodles",Value serving,% Daily Values,20,8%,80.8 mg,9%,24.2 g,0%,0.0 mg,10%,205 kcal,17%,10.16 g,5%,1.48 g,2%,4.8 mcg,2%,0.4 mg,0%,0.0 mg,0%,0.0 mg,1%,32.9 mg,7%,4.2 g,23%,457.5 mg,20%,204.5 mcg,0%,0.0 mg,1%,0.0 mg,1%,0.2 mg,8%,6.7 mg,-1%,-0.1 mg,0%,0.1 mg
"Roasted Makhana, Roasted Lotus Seeds",cup,1 cup,,,"cup of Roasted Makhana, Roasted Lotus Seeds",Value per cup,% Daily Values,20,4%,40.9 mg,6%,16.1 g,0%,0.0 mg,11%,216 kcal,26%,15.50 g,0%,0.00 g,9%,26.0 mcg,5%,1.0 mg,12%,52.5 mg,16%,156.5 mg,10%,342.2 mg,6%,3.9 g,0%,1.6 mg,0%,3.8 mcg,11%,0.2 mg,3%,0.1 mg,3%,0.4 mg,0%,0.0 mg,29%,2.1 mg,2%,0.3 mg
Multigrain Roti,roti,1 roti,,,Multigrain Roti,Value per roti,% Daily Values,20,4%,35.8 mg,6%,16.2 g,0%,0.0 mg,5%,104 kcal,5%,3.29 g,9%,2.79 g,4%,12.6 mcg,6%,1.2 mg,8%,33.7 mg,7%,70.3 mg,3%,97.1 mg,4%,2.7 g,0%,6.2 mg,16%,164.3 mcg,8%,0.1 mg,2%,0.0 mg,5%,0.6 mg,6%,4.8 mg,1%,0.1 mg,3%,0.5 mg
Chana Dal Recipe,serving,1 serving,,,cup of Chana Dal Recipe,Value serving,% Daily Values,20,5%,45.5 mg,9%,25.4 g,0%,0.0 mg,11%,222 kcal,16%,9.69 g,21%,6.40 g,22%,65.1 mcg,12%,2.3 mg,0%,0.0 mg,0%,0.0 mg,10%,337.5 mg,14%,8.3 g,2%,32.8 mg,32%,322.3 mcg,16%,0.2 mg,4%,0.1 mg,8%,1.1 mg,15%,12.1 mg,-12%,-0.9 mg,4%,0.7 mg
Veg Puff 170 calories.,puff,1 puff,,,Veg Puff 170 calories.,Value per puff,% Daily Values,20,2%,23.1 mg,11%,31.0 g,0%,0.0 mg,9%,170 kcal,5%,2.88 g,3%,0.93 g,2%,5.4 mcg,7%,1.2 mg,6%,27.1 mg,9%,91.2 mg,3%,93.1 mg,8%,5.1 g,23%,460.1 mg,23%,230.1 mcg,5%,0.1 mg,2%,0.0 mg,8%,1.1 mg,6%,5.0 mg,0%,0.0 mg,2%,0.3 mg
"Roti (Phulka, Chapati)With Oil",roti,1 roti,,,"roti (phulka, chapati)with oil",Value per roti,% Daily Values,20,1%,7.8 mg,4%,11.8 g,0%,0.0 mg,4%,80 kcal,5%,3.06 g,6%,1.87 g,2%,5.8 mcg,4%,0.8 mg,5%,21.5 mg,6%,57.7 mg,1%,51.2 mg,3%,2.0 g,0%,3.3 mg,3%,25.2 mcg,6%,0.1 mg,1%,0.0 mg,5%,0.7 mg,0%,0.0 mg,2%,0.1 mg,2%,0.4 mg
Gulab jamun,gulab jamun,25 grams,25 grams,25,Gulab jamun,Value gulab jamun,% Daily Values,20,10%,101.8 mg,13%,35.0 g,0%,0.0 mg,9%,175 kcal,5%,2.76 g,0%,0.03 g,0%,0.0 mcg,0%,0.0 mg,0%,0.6 mg,5%,49.1 mg,0%,1.5 mg,4%,2.3 g,0%,0.1 mg,3%,28.6 mcg,2%,0.0 mg,3%,0.1 mg,1%,0.1 mg,1%,0.6 mg,0%,0.0 mg,0%,0.0 mg
